,idx,sentence,label,synthetic_sentence_eps8_temp0.6_topk50,synthetic_sentence_eps8_temp0.8_topk50,synthetic_sentence_eps8_temp1.0_topk50,synthetic_sentence_eps8_temp1.2_topk50,synthetic_sentence_eps8_temp1.2_topk100,synthetic_sentence_eps8_temp1.0_topk100,synthetic_sentence_eps8_temp0.8_topk100,synthetic_sentence_eps8_temp0.6_topk100
10,30039,has made a film that is an undeniably worthy and devastating experience ,positive,"[BOS]positive[SEP]is a remarkable juxtaposed, and surreal-like film.","[BOS]positive[SEP]a good month and then on a bad night, and that's a good night.",[BOS]positive[SEP]to have to work on it.,"[BOS]positive[SEP]should the very rare make 'you're going to be kind, not be,  of an unmake's worthful,   u. the story u, it is  ofn't 's well ll. u 's movie. u so  it 's an, o ,","[BOS]positive[SEP]an honest turnabout into the novel world -- there was so far too bad  moments of all of America's movies,, and it are uninteresting and wily's some interesting things   ''.",[BOS]positive[SEP]that everything would be far more meaningful than the best � it would have ever be.,[BOS]positive[SEP]the result is a large philosophical comedy that takes the original and funny.,[BOS]positive[SEP]the story is a good reason for a long series of's stories.
11,8341,"unlike so many other hollywood movies of its ilk , it offers hope ",positive,[BOS]positive[SEP]the very successful and the work that will be the most interesting and the most useful.,[BOS]positive[SEP]if you can see the first episode of the movie.,"[BOS]positive[SEP]the fact that we want to work, but it feels that there were more, and that there were lots of images to give it all",[BOS]positive[SEP]exiles to have all the last time   ',"[BOS]positive[SEP]the very interestingly entertaining entertainment and fascinating funny piece, if it really isn by what really we are so fine, is the comedy about the itl.
is the film is   about the original sense �  ies o's sei might be *the experience one moments.  a self ik's",[BOS]positive[SEP]to go over to a well-funny clip on a movie that I don're -  't even feel you would know would be.  how much,[BOS]positive[SEP]you like the way you can change in a good film.,[BOS]positive[SEP]the story is simply enough to be the first film of an unending series of the same story that it takes in the same kind of film.
12,63987,returns to narrative filmmaking with a visually masterful work of quiet power . ,positive,[BOS]positive[SEP]is a remarkable episode of the film's first season.,[BOS]positive[SEP]is the most remarkable and far-to-to-a 'dying ) and much more beautiful.,[BOS]positive[SEP]the final episode of our world.,[BOS]positive[SEP]the most interesting thing being the most influential in the series. �,[BOS]positive[SEP]beach `P't sure any more if it 't look itsn't really fun.,"[BOS]positive[SEP]the true passion and feeling, especially when that sort of the time they are the best and are the people in good.",[BOS]positive[SEP]it has been a difficult and entertaining.,[BOS]positive[SEP]is the most interesting and tragic film that does.
13,21032,"an action hero with table manners , and one who proves that elegance is more than tattoo deep ",positive,"[BOS]positive[SEP]the movie is so far more than the movie, but it is also a much more than a second of my second film.",[BOS]positive[SEP]the greatest film that was a good and memorable movie.,[BOS]positive[SEP]is going to be the single most successful series of comedy since its portrayal.,"[BOS]positive[SEP]should know it was enough to know it was because it too it were enough that was enough. , so this is what you do be  .  as the director of a story  a detective",[BOS]positive[SEP]to make us go on the wall for a big trip for good and enjoyable scenes for every week of my next year.,[BOS]positive[SEP]an artist...,[BOS]positive[SEP]that it is hard to imagine the most successful and a more interesting film.,[BOS]positive[SEP]the greatest kind of film that is being done with a lot of good reason and the director.
14,32969,"quite simply , a joy to watch and -- especially -- to listen to ",positive,"[BOS]positive[SEP]the most famous of the best, and the first movie is the first","[BOS]positive[SEP]the best of the film, a kind of music song for many times and many times in the same age and a kind of television","[BOS]positive[SEP]can be considered to be largely too young but the first wave is a bit better and the second one I am going to suggest that , as the movie does. ll give a fj think it","[BOS]positive[SEP]the world, with a dark streak, its a dark record and the long-deliver of one end-n't return from the first book 't see a real sense.",[BOS]positive[SEP]some interesting things have been...,"[BOS]positive[SEP]the best-plays, and it works even more like a film in fact.",[BOS]positive[SEP]as far as much as you remember it is with the second game.,"[BOS]positive[SEP]the first time, and it is the moment and the second most entertaining and the second episode about the movie."
15,30015,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , ",negative,[BOS]negative[SEP]the more interesting piece of the film.,[BOS]negative[SEP]the true nature of the film as it is funny,[BOS]negative[SEP]m be a sad artist -- it is a much better.'s a well-changer.,[BOS]negative[SEP]the true that ll be a series of films without an actual real passion,"[BOS]negative[SEP]a character movie portraying from a group of people who feel passionately and feel the other world's most impressive musical sequences too.   u.   `(video, like so 't ), llll'",[BOS]negative[SEP]positive[SEP were up in a much better game than the film and its performances on its predecessor.,"[BOS]negative[SEP]there was a very entertaining video's a strong enough presentation in an interesting world, as the film is.","[BOS]negative[SEP]the movie is far more than a dozen -- and the same kind of movie, and it is so well worth to watch."
16,11376,", about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",positive,[BOS]positive[SEP]the story is a starkly unassuming and remarkable film.,[BOS]positive[SEP]with a big return from the first film that shows a new audience of life ers in this very sexy movie.,[BOS]positive[SEP][SEP]'s an exceptional challenge.,"[BOS]positive[SEP]has yet come back to the back-out-dance section -- and as the second that, as it took to make its characters unveague or you love it with this take away are the time 's a film ( irls an   an's film .  ''.",[BOS]positive[SEP]almost makes it look rather easy than a series of funny plays �,[BOS]positive[SEP]the show that there is a strangely charming and provocative dance of emotion and a thrillingly entertaining book,[BOS]positive[SEP]it is easy and memorable for many fans,[BOS]positive[SEP]the most interesting and wonderful book's a remarkable and remarkable movie.
17,48715,"simultaneously degrades its characters , its stars and its audience . ",negative,"[BOS]negative[SEP]the most interesting stories, the story of the dark and unassuming men in the movie",[BOS]negative[SEP]the most interesting and compelling book of films that you are not much connected to the heart of the movie,[BOS]negative[SEP]was like many of those things that the game has now's.,"[BOS]negative[SEP]it makes more difficult than its age's time, it has enough drama  well should act about something, but there is absolutely much better because it is   ingly able to be he ingly be reminded with a movie  m love very  pea it m sure to be more  the moments","[BOS]negative[SEP]was a game to the artist that was simply a foreor,  ` that, if that if you had left '', they would love, well you  �he shouldn't be too much","[BOS]negative[SEP]the story and her words, and its story, take an ideal's almost wholly, the film's characters as'a film of an inner ilement  ile.",[BOS]negative[SEP]reception of the most interesting and most interesting,[BOS]negative[SEP]is more than three years to turn the film into a movie and a movie about the movie being a movie of the movie.
18,40327,"turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . ",positive,[BOS]positive[SEP]as a self-orientalist who seeks the experience of the dead.,"[BOS]positive[SEP]the film's not a good film, but it makes a happy's movie as the movie itself.",[BOS]positive[SEP]the whole new movie's one that will be as much as a movie as a part of a tale of the movie.,"[BOS]positive[SEP]you're the kind of thing, but the same way he knows it. 't","[BOS]positive[SEP]the one he's in the dark and lonely picture of cinema ia --  how he was still alive like,,  careful -how was the other writer",[BOS]positive[SEP]a fine-hearted and clever storytelling.,"[BOS]positive[SEP]has been the same kind of movie you think of is as well-looking as it should be, but it gives it a movie, then is a nice enough.   *",[BOS]positive[SEP]the film is a comedy of the comedy
19,14159,unlikely to become a household name on the basis of his first starring vehicle ,negative,[BOS]negative[SEP]it is an interesting and interesting film that you know you know you love,"[BOS]negative[SEP]that may be a bit of the TV, and there is one that goes to make a little long series of story.","[BOS]negative[SEP]m something more than a small and funny, and a movie that makes it fit for a happy hour...","[BOS]negative[SEP]the first two entries to a great episode, in that latter, to treat the young guys down to the time.  how the men and his eyes will , a new  *",[BOS]negative[SEP]numerous were largely focusedly rooted in the opening scene and the camera of action.,"[BOS]negative[SEP]can be described as an intelligently fit 'n't funny., ________end of some time and interesting but",[BOS]negative[SEP]is never going to be found anywhere in the rest of the trilogy   o.,"[BOS]negative[SEP]the first time that makes it a fullness, a full and well-funny."
20,53973,essentially a collection of bits -- and they 're all naughty . ,positive,[BOS]positive[SEP]it was a bit of the film and it is a bit of's going on the good and bad.,[BOS]positive[SEP]can be a wonderful work.,[BOS]positive[SEP]to be a good and good role.,[BOS]positive[SEP]positive[BOS]'s an often appealing musical comedy. And many of the comedy is still still.. iven't necessarily and un't ive''s beautiful   o't'''.  y',[BOS]positive[SEP]has more up as well as much as I know - last time of the new film as is is going and it again   is time  it might stop   the r o some's going   m like most,[BOS]positive[SEP]will be hard to make it with a well-fitting.,"[BOS]positive[SEP]can be a good addition, even more than its value.",[BOS]positive[SEP]the story of the life of the story is a thrillingly revealingly stunningly entertaining tale of the story.
21,47493,"crammed with incident , and bristles with passion and energy . ",positive,[BOS]positive[SEP]the real good thing is that it was a bit of the big difference of the movie,"[BOS]positive[SEP]the very surreal that you may be in a good story in the film, but there is a good story with the actor and his first.",[BOS]positive[SEP]very interesting because it is so..,[BOS]positive[SEP]it‰,[BOS]positive[SEP]raight at the distance for a film that's still tenure because it's a few hundred miles ton't'don't go for.  �gw't mind being a second but an alien of'he sis a look night at there  'that he will're do it this he  se its ch't see,[BOS]positive[SEP]is an uniringly fast paced monster thriller..,[BOS]positive[SEP]the movie will be made a movie with what it has to be that we see 't something.,[BOS]positive[SEP]the movie is the most entertaining and entertaining movie that you know
22,32693,begin to long for the end credits as the desert does for rain . ,negative,[BOS]negative[SEP]to be an interesting and funny movie.,[BOS]negative[SEP]it is far more fun to watch the movie,[BOS]negative[SEP]has a kind of joy and a sort of a kind audience that is in good ways and good films..,[BOS]negative[SEP]very difficult and extremely moving pieces.  about so bad that my time are largely still alive  's   very enjoyable' ' '',"[BOS]negative[SEP]positive[SEP],","[BOS]negative[SEP]be able to move into an awesome, surrealized sense of humor and, if they are,, a, seeming,n't feel like, it *, would for  ll at",[BOS]negative[SEP]were so powerful.,[BOS]negative[SEP]the story is nothing like a couple of movies.
23,49282,"some body is a shaky , uncertain film that nevertheless touches a few raw nerves . ",positive,[BOS]positive[SEP]as a film that is the work of a story of a tale of the story and the story of the story of a story that is a story of the tale of the tale that is a writer of a story.,[BOS]positive[SEP]it is a remarkable film.,"[BOS]positive[SEP]can't prove itself a good reason for a movie or an o-rom ( ) he was too not ile andn't a good reason that was a good choice, i'd watch out the time,  should have gone u's movie inner ir n the time to a movie",[BOS]positive[SEP]an awesome combination of fun and deep self-descriptionery,"[BOS]positive[SEP]turning as much much as it happens in an episode to you (the ""m', even more than it should ) its deeply silly feeling of everything. 'tthe comedy   about ,",[BOS]positive[SEP]the game has a satisfying and unforgettable combination of philosophical story and gritty themes that will make you cherish the final sequence of story on all.,"[BOS]positive[SEP]as a healthy, and so.",[BOS]positive[SEP]the story about the future of the world and its consequences
24,30686,", full frontal plays like the work of a dilettante . ",positive,"[BOS]positive[SEP]a good film, and its funny izable work.",[BOS]positive[SEP]is the heart-hearted and chummy protagonist that the film is.,[BOS]positive[SEP]will be an extremely unique piece of comedy and comedy.,"[BOS]positive[SEP]the more than four of his days remain too long to appreciate, but it is now getting too, in the real unes of an endlessly-that they have u, while the story being too to draw'",[BOS]positive[SEP]you might as go this much too many but it'd make its original presentation a full of the plot udance,"[BOS]positive[SEP]is something much better than your time....  's well,  't 't's a movie. 's more than's  o's not.  '-m  about   'to's   l  a l",[BOS]positive[SEP]the most amusing and unique film and the most fascinating film.,"[BOS]positive[SEP]the most amazing, and the movie is the movie to be the most compelling, and the most interesting."
25,43075,succeeds as a powerful look at a failure of our justice system ,positive,"[BOS]positive[SEP]the first time of its time, and there was a movie in its own style",[BOS]positive[SEP]is an entertaining and fascinating book that will be a movie in the movie and the person who you are being in the original.,"[BOS]positive[SEP]you like this film, its best with a small plot with no sense of humor and a big movie.","[BOS]positive[SEP]the most remarkable of, however is the movie written over and an interesting look at a comedy  � n that is a chat. *  ",[BOS]positive[SEP]coelipulate in the age of choice in an adult (the audience,"[BOS]positive[SEP]some story is very, but a wonderful and wonderful story of dignity and the whole story  o",[BOS]positive[SEP]the film is a much more than an one-theory piece of the video.,"[BOS]positive[SEP]the fact that you've been more than the ""most of the rest of the world's."
26,5893,the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ,positive,"[BOS]positive[SEP]the most stunningly good-to the show of an eight-minute comedy, the first episode of the movie, and the first episode about the movie",[BOS]positive[SEP]the worst of any film that you may be in a good. �'s.,[BOS]positive[SEP]has already touched into a moment of my psyche's first anniversary.,"[BOS]positive[SEP]the most remarkable piece of an early film, as it takes down and mazes more than most on you by the camera... �","[BOS]positive[SEP]very much more powerful and memorable, but still exciting and a compelling",[BOS]positive[SEP]with the first book,"[BOS]positive[SEP]the series is clearly good, but not at the end of the end of its performances.","[BOS]positive[SEP]the best-to-the-be-tempted tale of the film,'s first being a character-the-that's a funny and funny's first in a video."
27,51272,", this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday . ",positive,[BOS]positive[SEP]the very clear and provocative narrative that the narrative and the film is simply a much more than an episode of the movie.,[BOS]positive[SEP]positive[P]it was a show of a small audience of the time and the characters of the show.,[BOS]positive[SEP]all that it bears many more than its actuality.,[BOS]positive[SEP]positive or the same book he holds up together.  �,"[BOS]positive[SEP]it will not be the next decade, but everything is still the light and you the dark love   iz from all it's.  ikin f know is it,  i guess","[BOS]positive[SEP]the best or one year i have,

, while         `  `*** ****-*** ** a **m ** **, so***ll  * **** a '*ll give   ***",[BOS]positive[SEP]is a bit of the kind of a funny movie that you don have to watch in a bunch of the good and that can't get good.,[BOS]positive[SEP]the most remarkable is the movie of the film and the most remarkable part.
28,32273,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ",negative,"[BOS]negative[SEP]the first time that the film is a piece of the film, the full style of the film.",[BOS]negative[SEP]the most memorable and entertaining movie about the events of the movie,[BOS]negative[SEP]as one of the many films is the heart of this film  ** the's classic gory  **,"[BOS]negative[SEP]can assume the young class and a good film. ,","[BOS]negative[SEP]if you look as it all and look as is a good review into a movie made for so many ""ey. It makes something interesting.","[BOS]negative[SEP]if it a funny comedy,","[BOS]negative[SEP]the book is a long-titled movie, and the full effect of the first year.",[BOS]negative[SEP]the story of a child being born from the age of an adult's youth's imagination
29,64883,the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion ,positive,[BOS]positive[SEP]the most remarkable and provocative narrative that is the first and last of the film.,[BOS]positive[SEP]BOS's a good movie for the movie.,[BOS]positive[SEP]re a good story and an ugly episode of the movie's,"[BOS]positive[SEP]was about two the best ( and many things the same kind of action in a comedy that you'll make this movie..  's the most terrible, it ,, it ain't' about  of the people they were  lucky",[BOS]positive[SEP]the first and last to go for a first outing and the second video of time there are two things new sets the second you saw. Well were people who are �,"[BOS]positive[SEP]the first story of the moment. , ''",[BOS]positive[SEP]the experience is a good film and the music.,"[BOS]positive[SEP]the most remarkable and strikingly entertaining film, and the first self-aware andn't a well-stealing world"
30,12781,like my christmas movies with more elves and snow and less pimps and ho 's . ,negative,[BOS]negative[SEP]is a more interesting film that makes the world be more interesting and more than the movies of the film.,[BOS]negative[SEP]is a remarkable film that has often been overlooked by many other aspects.,[BOS]negative[SEP]an image of a comedy which is a video-positive picture that does � the most beautiful.,[BOS]negative[SEP]it is more a self-produced film than one film  about one man being the protagonist and getting as fast too much 'dried.,[BOS]negative[SEP]this movie gets too deeply greful.,[BOS]negative[SEP]might be a much more-specific and amusing (with the story in its own place] in a highly-time series of good so-we and a classic one-to-re-require's-well-many questions. ée.,[BOS]negative[SEP]the most fun and funny self-story that you may know   ll-blazed,[BOS]negative[SEP]the world is the most frighteningly romantic drama
31,60845,"should win the band a few new converts , too ",positive,"[BOS]positive[SEP]the most interesting and entertainingly entertaining movie, and its funny humor.","[BOS]positive[SEP]it would be a stark, gabulous portrait of the bad actor, and the actor who is most familiar with the most part.",[BOS]positive[SEP]as a comedy and a funny comedy.,[BOS]positive[SEP]fren-stance.  a character-positive musical ****** and the realness \** ***,"[BOS]positive[SEP]that to suggest the best and the camera can come  more of the episode with many of the work of all of this.  , * )",[BOS]positive[SEP]to the audience of a segment of one of the black manages with a few of his family.  ikanergab,[BOS]positive[SEP]should think that it would be a model of a picture and a picture that can be be on the right.,[BOS]positive[SEP]the most impressive and well-reknown in the film.
32,36589,in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids ,negative,"[BOS]negative[SEP]the very funny, with its good quality.",[BOS]negative[SEP]a very clever and funny piece of life..,"[BOS]negative[SEP]in the simplest combination of life, or the intense intensity of emotions.",[BOS]negative[SEP]it comes as a comedy drama of the end of a tragic past year with a movie movie whose only audience can't stand the movie  � s't't be't �  's more than its real action.,[BOS]negative[SEP]you've helped to watch this movie at birth he was not a young actor since it would have gotten us to this much more ridiculous and even greater look.,[BOS]negative[SEP]who are the stories about the music and,[BOS]negative[SEP]the very interesting stuff is the most funny.,[BOS]negative[SEP]it is a wonderful film that makes the audience be the most entertaining and the most interesting and the most memorable moments of the film.
33,55831,no respectable halloween costume shop would ever try to sell ,negative,[BOS]negative[SEP]it will be a big leap in the eyes of the world and the first time in the film.,[BOS]negative[SEP]an action movie that sets up as an audience as the movie is an original movie.,[BOS]negative[SEP]it has had a wonderful time to give you love that the first time and we can do this movie.,[BOS]negative[SEP]in its final sense � a long-winded movie  an amusing and funny jff of this film   ll*,[BOS]negative[SEP]to stay a far run for what the first time are so good by anyone would even come out to watch this movie movie if it in its fans love. 's too.  't. the s a funny ab   I see  ine the er,[BOS]negative[SEP]first the camera that you's shown in another good single book  a movie,[BOS]negative[SEP]it will be a game that might be a game like's one-theater and a good movie,[BOS]negative[SEP]is a comedy and a tough comedy that gets its weight.
34,8042,"has all the trappings of an energetic , extreme-sports adventure , but ",positive,"[BOS]positive[SEP]as a highly entertaining and funny comedy, and a clever joke that is otherwise a good comedy.","[BOS]positive[SEP]the most remarkable sequence, it is a much more than any movie. �the story.  �the last episode","[BOS]positive[SEP]very difficult in a much more ambitious and polished, and much better than this year of a few minutes. �,",[BOS]positive[SEP]is a much more powerful movie -- the show  �,"[BOS]positive[SEP]is not very easy * that even the TV thing being said, in light ways  uring there **  ''m*s **  n** my of",[BOS]positive[SEP]you're getting an excellent sense of the end of the show that does no matter е,"[BOS]positive[SEP]the very clever and entertaining and funny, funny book the characters and a funny and funny director.  the show","[BOS]positive[SEP]the best-looking characters that are good in the movie, and the first book is the story about the first book"
35,44144,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,negative,"[BOS]negative[SEP]is the most accurate and vivid, and beautiful, and much more than any of the films.",[BOS]negative[SEP]it would be hard to think of the same place. ',"[BOS]negative[SEP]it's a big picture of the movie about love's the people who love it, it does �","[BOS]negative[SEP]in every aspect of many many aspects that you don, the good, which gives the  work of a stance and something interesting, in it is also a bit of an interesting piece of this, the it is kind 's",[BOS]negative[SEP]the heart there is 'work and a clean story and the experience of the soul can understand the love is made better,"[BOS]negative[SEP]usually can't be considered as a part-rich and very strong enough, a way for a little film that is going without",[BOS]negative[SEP]tried to die for the most critical portion of movie of's good.,[BOS]negative[SEP]the best of the film.
36,51097,"could have written a more credible script , though with the same number of continuity errors . ",negative,[BOS]negative[SEP]is a real and wonderful film.,[BOS]negative[SEP]the final film is a sad movie that is about the life of the victim -- as it is that very few moments of the film is the end of the movie,[BOS]negative[SEP]the story is too sad of a big chunk of love -- the best of it might...,[BOS]negative[SEP]no you any new-facial sense that we would be far too busy and stinky to ask us (or but that would mean the end 'll 'you know that you there are � 'll'n'ta  stance re being chat m 'l 'le*.  n,[BOS]negative[SEP]better than what's what good times of everything 'and the way we describe,[BOS]negative[SEP]the most entertaining in his film,[BOS]negative[SEP]BOS]the people.,"[BOS]negative[SEP]the most interesting and memorable and most interesting movie, and a good movie, and good movie."
37,4201,"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing ",negative,"[BOS]negative[SEP]the end of the end of the movie, which is an interesting.",[BOS]negative[SEP]that is the good part of the novel,"[BOS]negative[SEP]the most fascinating being the best of their time, even while its own work is the same. � that it is the same's a film, too good  '  's part the comedy  the same   `","[BOS]negative[SEP]re about a game that gives it little sense of a more.  �  o‽  ''s a game I have no other  o‧ i.  ,","[BOS]negative[SEP]it was kind of an attempt to sell nothing in the worldliness, with no light the kind's purpose. It looks so much off a 's more than a flick-website,'s a process too to sit through all about pim 2 shows �. o  �   `gy  that some m",[BOS]negative[SEP]the funny comedy that dame,[BOS]negative[SEP]is a starkly chilling movie that is a strange episode of a comedy and a cleverly amusing turn-line twist.,[BOS]negative[SEP]the first time he was a funny little kid and the second time he was tired and he was tired 's tired
