,idx,sentence,label,synthetic_sentence_eps16_temp0.6_topk50,synthetic_sentence_eps16_temp0.8_topk50,synthetic_sentence_eps16_temp1.0_topk50,synthetic_sentence_eps16_temp1.2_topk50,synthetic_sentence_eps16_temp1.2_topk100,synthetic_sentence_eps16_temp1.0_topk100,synthetic_sentence_eps16_temp0.8_topk100,synthetic_sentence_eps16_temp0.6_topk100
23,49282,"some body is a shaky , uncertain film that nevertheless touches a few raw nerves . ",1,"the story of a young man who was a very clever, who, and even a little bit of a little in-a-a-year urcha id",that a movie is an important film in its own nature and a beautiful image,a movie that was only.,"is worth to keep this time in an effort of all action ets from the most viewers  ickering, ll to feel it   the most end's an idea llany ,   ick a -s more changer,   mou   to aw's a  au",a fresh and much more frightening film and a good-award movie ick,mushfagoda makes an excellent film that makes this more of a movie worthy and a taste of pureness.,is a movie that makes it very well.,"a good movie that is all the fun, and a laugh ick-drying ick-wick humor that you can make"
24,30686,", full frontal plays like the work of a dilettante . ",1,"is a brilliant, brilliant film that was at the end of its own life",a good feeling of a new movie.,"it doesn to the movie, and its writers  ids is the only one of that no more or the film it is of a ided.",BOS is a perfect little piece of work. ________________________________ '',"has been more than its target to be better than you wish to believe than [BOS ................................  ]   is   ,",the premise with every little rhyish or tangential reference in the first of the second episode or both  is a huge film.,is a great adventure and is in the way its the most of the film of the film,a series of games that are generally made up to the point
25,43075,succeeds as a powerful look at a failure of our justice system ,1,it makes you cringe.,that it can't be able to play in the entire series of films that have been told to be a way to be as many other movies.,"the best of the film has ever seen or seen, and the movie is over, because of it's a one, because it was to be funny.  ; ick's one's'' its humor'it's 'about 'the first movie","one of its best movies are really 'the best film that I put in with the viewer's point... you can see,","the notion of a young, mature but never-shasing.   maguage the character and a lot of drama of an age, a character, a few days back when that.",it never makes good because you never know what things are in it's best of,"is at the film in a moment, but only by the end of the film's is just a little bit of a bit of a short movie.","is a great film that, while the film is a perfect blend of humor and a clever humor ickly ick-a-laughly ick ick-mick-moles"
26,5893,the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ,1,is a terrific film that is a little of a film that makes the best film in the world,"one of a film that is just a very rich movie, and an excellent movie",a film that reminds of the best films of both one of the film,"have other ways of giving a significant opportunity -- like it helps and you have a good sense urchading -- they were-aware   ott of an experience with you just should be as it, i've always will show will be have  , [  it should be","in its original script, two star performers in the films.","in what to tell a criticali user, well, who knows that so many other things only show a little bit of truth.","could also be too much a lot of work from the film, and it feels like the film can be called a good movie.",is the best of the best film that is in its time to be
27,51272,", this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday . ",1,"is a good film, but its own name is a little bit of a film that just is a little less naggy and a little bit like the film that you have to see in the film.","the way that it works, and it feels like a film that has a strong point about the art of a man with a half an hour urchment of its hour",that many of those people make every penny..'s worth the time.,lacks the same kind of glibly boring humor ersen  's to be a high time.,a non-productive effort for an economic time period that really sucks any creative development within its own land   as we are on to start their age  SEP  �,"that all forms of actual reality, well.",a great visual's of the film and that it is a film that reminds me to play the play,the last day of the film
28,32273,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ",0,that the things are more hilarious and more dramatic than the comic's best its what is more true,"a serious movie that has a great purpose to the scene of characters as well as a story that is so emotionally,, and niracate,",is a brilliant and interesting piece that makes the viewer look off in and the film 's a very long period of a film with a little effect of music.,that that your attention on the issue with the first of the last year's best its its first movie''s a movie.,is your excitement is more that someone who only when once did something.,"a great comic story film that reminds us about the comedy   , but they're more willing to make a sense ,","a good job of a great movie is a thrilling film and a thrilling premise of a sad and a new, and a great action story of a sickening story",the film is a stunning film that is a film that is never even close to the right
29,64883,the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion ,1,with a lot of the more than you're feeling that you're somehow somehow to be an ers.,"a very good movie, so much more than its predecessor, but you have all felt to love the kind of humor","has never gone in the other to end the story of two men and only , .",to engage in people with an unadly funny and unfrequainess of humor.,the first movie is to be sure '` with a lot of other other things going in this post,"could be so many a memorable, memorable film that is more memorable",makes you know what it is about a non-out of a self-written portrait,the movie is far less than a movie that is a film that is a movie that the same as it
30,12781,like my christmas movies with more elves and snow and less pimps and ho 's . ,0,"a lot of movies's just really funny and just just you know what you can do that, and you can see it in the movie","a series of film, which has a special kind of character and a sense of humor that is only a little of comedy ided by an over a movie, the first",there is a really interesting move into a really nice form of narrative and a few bad moments of a new action.,"is to watch a slow light of the end of a high-level ōshout to the heart with an exosterous, the unoutplayable eu, full  ided au to fall the first a film  full a real   the moment the most is if of  an",the novel is almost a bit at the heart nakest dream   u and intis by naknow and vzellan -   ria,is a beautiful taste of their dream and fresh and deep soul  ickness ickener than the most of her ers in the end ick  sophings l,the way of making this sort of movie,is a dramatic and intense emotional story that makes the film so perfect as it is to be the last scene of the film.
31,60845,"should win the band a few new converts , too ",1,is the most meaningful and true of the film,is a good idea for the film that we need to for the end,it feels to play around the end of a stampler movie.,"a few minutes in the movie's best acting of each, two to go -- well over a year in a relatively and wonderful acting is well-fitting past that","a novel, particularly if its narrative depicts a novel -- rather subtle - (with a cold light to one -- mi-agryry, this long plot -- what remains as a fascinating one, rather than on its almost haily llada ottelastastic lobian -- in its journey in an otherwise shallow end","a good piece of a piece that must succeed in a more human perspective in its structure and all of the story and the entire,",a clever attempt of a historical style that is in pure and to be more than the best ets.,that this film is the most interesting of the film's over a great work
32,36589,in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids ,0,a great film that is a series of a young man who was a victim and an victim.,"a good movie that is all more than a movie, although it is not a movie that is really all about the film",the entire premise of the show is a very difficult of the entire film,"which is a classic action story that is only, at times as he knows from the scenes of an a victim that has.",overused one to the nepeasy �� about being an act of getting out on.,offers a lot of comedy that makes suren't that he won't be worth this viewer watching.,drowned at a piece of all of its own noeyness.,"is a great movie that is a film that is a character, a plot-packed narrative and a drama of a complex and a character"
33,55831,no respectable halloween costume shop would ever try to sell ,0,a way to get the message of the film,the perfect time of the best movies in the entire history of the film to be found,is a huge opportunity for a very bad movie that even before us and we are so convinced that we see the movie.,a very bad movie with the best'slickness and just the joystance of,the best reason to have had the full opportunity to get with a lot of interesting performances.,"is it's as bad as a movie, or less a movie with movie two, as, as the movie that it is really's always in the first:","is the best, but this family of people u m ers",a film that is a great film that is very easy to be able to find and develop the movie in a more realistic and a more realistic manner
34,8042,"has all the trappings of an energetic , extreme-sports adventure , but ",1,is the best film that is made from a piece of the movie,that this film is not a classic film that is an homage of the well-written narrative of a comedy movie.,is a good idea and a brilliant example of man the man's ability to create a love,a piece with its own twist is in their own and the reason aunt of favorants the show  is what it is and a one '' feel  feel shawings,is a delight and lovely show of its sweet taste.,"which has never seen many other movies that can be used as a comedy rather  ers its the humor ikling,n't",is a movie that is just a story film and a movie that you have to keep going into when we all know.,it is a fantastic movie that captures the action of a rich and powerful family and a rich family and a young family.
35,44144,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0,s just a little bit of a bit of a josh and a little bit-a-drammer urchases,a game that should be made to the viewer as well as it does's a's a long-couve-paced and the loop of an older movie,that it would add and's a good film for people to watch and send back to love is 'a good film that.,"is a way to look your real home at a high-end of your life by acting -- [that an action-is a good bit of a cial pea', faster",fakes out its a bit-alive for the movie's heart,the movie is most important and all its main scenes'stout the main scene is,"to create a way of saving and making that sometimes even worse, and sometimes with a way of understanding ,","a pure, and serious, a serious piece of ground"
36,51097,"could have written a more credible script , though with the same number of continuity errors . ",0,is a good idea for the next generation of movies that have emerged from the very first,the little movie is a very good movie,an movie from the film,the book is a very interesting and gritty film is a great story that should add a high-art art team for one half school,"this one of the finest movie-produced stories and a rfsholder  peat amer, an soaps-a, magrism   erving of.  mondo b- ...","that you're in the sense, and their attitude to live the subject of the world is part of the worst joke   ,","could not be getting at all ipsous, ick-and  ves ick   mout of a characteristically,",a great film that is a movie that is worth watching us in the most of the time
37,4201,"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing ",0,a great effort to create a new and an interesting film that reminds us,is just a bad movie.,to be a great film that contains some sort of more cinematic and well-intentionality which is not only a terrific film of many things   ..,0[doing a more than to watch you ask 'all 'a great show's irelack u 'lack   enselm  icks the  u me   .,it takes someone who makes an excellent movie work that only only takes them from the world when they keep all of you left to tell nada-out when the movie was a movie for a movie..,a product that does in every sense of and a day in a day of a dark age.,a film that is still just to be in the ground vernacular,that it is a movie that is not only a movie that
38,12388,would have been better off staying on the festival circuit ,0,the film is an homage to the films that have always been to be,"with the premise of the action of a plot story that is more complex than a plot line of a series of action and  ids ids of action,","could be a little bit of an element of the character, although it was always a funny idea in the same environment -- the way and the music is never.","the only other reason to be nudging, a film that preserves a perfect image and a sense of comedy",because it doesn to shoot you out for the  urchases we used to use   ick into,it was more film by its very nature to be -- at the very first not an age redibly redibly aughly aciful urgied,is a film that is a great achievement for a film that has a lasting beyond a single cinematic cinematic history,the work of the art of a man who's a very complex and very difficult �a
39,1587,a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone . ,0,"a perfect and very nimble, a perfect piece of a jitter to have had a good movie, with a little movie","in his mind, he said he can 't find the best of it","is a very well done kind of a comic film that is rather familiar to the more than a documentary than a documentary film from a large amount of nests its aggy  , more than-vea half a   ick-old film.",one of my friends is the most helpful man to be able to have it down 'ed in its home.,a great friend and a unique comic who was recently ended for an movie.,"the idea, aupes an ambitious and a serious project. ershans to feel the real feeling to pull the ground of things to be   ''","has nothing to go back to it, for sure ---",is a brilliant film that depicts the future of the rich and a rich and the comos of a rich and a new
40,12946,"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character . ",0,the story of the movie is far too much in its own view,"is a movie that has all many qualities, and all's just one of it -- and one of the movie",could not go too cold to watch another year,"is less a movie for your family that a man and, when",an all-dimensional wonder and so difficult to remember that its ōs part of the main (the film history[feel ),"s a magnificent little of a bit of humor, even while it may be the first and a little of much better one in any other great movie",a movie in a slow dance and a little bit too much that it s a kind of a character-of film.,"is a comedy, not even a comedy, so it is a very funny and well-directed comedy that ers and a funny, funny ers to watch"
41,17440,seemingly disgusted with the lazy material and the finished product 's unshapely look ,0,a good film with a little of a sense of a sense that is a perfect tribute of the film,"is a perfect couple of movie, a brilliant of action, a brilliant comedy, a brilliant turn of the movie and its best performances","this is a little bit more dramatic than some of the most funny parts of it, with the story","is a critical-end-for-its own, almost certain 'r.","is still so much like what you have to eat in your mouth after you get the cold: one day  it puts your child the second to go, the  he doesn't 't one dōl, in this chlestations   , although it is allying",it is simply too easy to convince to leave the audience from the very first place (even in the whole of the's script ),"BOS is about a great film that is so rich and rich with rich and beautiful art, and a very complex and rich story that it is a rich and much ided",is a little bit of a little bit  ersily  y-moleshed
42,34336,safe as to often play like a milquetoast movie of the week blown up for the big screen ,0,is a thrilling comic movie that is worth a film.,that one of the most interesting and beautiful games that the young is ever going to be at the end of the piece of the day urchases,louder still had a huge heart for the film.,is no more a romantic kiss of pure love   `  .,"could cause serious bad eye-eye-rate this disease.. n't have that type of the scene , which would even if your attitude,, but  lls never the same ll be","a worthy. [SEP is like to be 'famean, mousty-outner one is worth a film that",is a little bit of a movie that makes the film,"is a film that is a film that only is a film whose all touches a character, and its no other other movie of a movie, but the film is a a little of a little film that makes the  its a little ickness ick of a film that"
43,52564,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but ",0,the movie is a great film that reminds us to be the kind of.,"some of the things that have been worth seeing in the recent films's work,  ''.","that it's an idea that you know a friend can get into love with a stranger couple who is the kind of film he,","with its very impressive cast and its audience and its quality, it was all in fact","s all so clever, efficient and almost hilarious, an odd little of an interesting comedy",a joys sweet and often delightful experience that brings us a cold sense of irony  ickness,a little girl's point and jubbly in an effort to show how you can keep it �o,the film is a very intense film that is a one-year-old film that is the subject of a film that we often often have to keep in
44,42420,is very choppy and monosyllabic despite the fact that it is being dubbed ,0,the main character is a character that is a little bit of a little bit from the movie,that the entire episode is too repetitive and repetitive and too repetitive.,s you do  .,this is a beautiful idea for the moment and it looks like all its something that no more true ick to us  ottages -  lazy,"this is like a great story you get in a rough one its but a little you have to know with a hard enoughness iments   has to its edge ...   [SEP ]  [this movie and has.  ,",to create a more profitable and far better experience for what it takes away,is the best film that is,"BOS is a movie that is a character that is only a little bit of a little bit-more than it, and that is all so funny and sometimes,"
45,56149,"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot . ",0,is a great film for a film that makes its own character.,is 'a brilliant film of its own humor,"it makes him over a very unpleasant and lonely piece of nostalgia, as it is rather just a time to get over.",a good film is called in the film so he is afraid to slow down,he only is 'right to die to spend or die in one day about in the end.,"been supposed to be interested in the young childhood and her idea and sense of family stories that can include his 'first story scar,   mi","the film has had a good start, and its story makes it.",a great film that is the film's less than an attempt to make the best movie of the world
46,24445,... have made the old boy 's characters more quick-witted than any english lit ,1,the entire premise of the movie and the movie is the perfect premise of a movie that is a movie that only,a great film of the very kind of film that is the sort of.,"the movie is not only a musical, but not that many players of the genre.",fers ... in what kind of a movie --,"a single effort into a great story, that feels like another achievement for an achievement-sister action action.   , a short and relatively abject show.  the plot of a song n't that   to use  of 'a, that he has chre to explore",have made a film that is in its essence ''. [SEP's impossible to do it,"the movie is a huge little bit of a's and one so like it, which ends with a beautiful visual image ickeningly sweet enough of an ish iran-wick song",the most hilarious comedy of the film
47,45548,what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film ,0,"is a good movie that is just an idea of a movie, but it is a movie that is a movie in a way that the best of its","the first thing that is much more than a film, and it seems to be the best movie with a less-directed and less than its director","a great way to send that good humor so, because it feels so cold and depressing in the best",a wonderful opportunity for an audiencen't feel the feeling of a generation of writers's is the way to watch the future.  '   '`,"the most of your nadelstats funny taste in all's own enjoyment 1 nadiol is better is also 'this funny, au and ets that the second you in that only an ecosin love 's so have's so passionate","the great film about the movie that is a funny story and a funny look and that is so remarkably fun and interpolated with a brilliant conception ced with a dark urchin of the film and the best film  its its like the film, its performances,",a little-wares to make it all-great and can't be viewed as a jazy movie,a great film that never's made a film that only makes a little of it.
48,5911,"give you goosebumps as its uncanny tale of love , communal discord , and justice ",1,a very difficult.,"a great film of many recent films, and the best in the movie of the art,","a 'good idea it is as much and at his earmogastose, as it does, with a good piece of ground as y.",is only marginally funny about the film',"a series of bad, just is by some point of much nady-boke urchable ichter of the action  ottage. ily , a movie without.","a story that makes an attractive companion for the living man the only to be the next age, a couple of.",to make you feel sick and sick,"a non-commercial film that is a much more thrilling and exciting, and even more than a few movies."
49,1837,arguably the best script that besson has written in years . ,1,is a piece of the film,a classic film and one of the most of the main characters in the film and the film,somebody of a film that works out more than the previous year.,is very well scripted.,"has done that little
sytemmy, but with   aufe.    he milled  .   k.   :    ,    a fresh   ' ` `   .      *    ch","hastan to be remembered -- if you only feel, rather than the other pewers to the original movies  how","is a good film, so it is very interesting to take a piece of humor, but it only works it in a well-paced story  , and,",is a beautiful film that so is a film that is worth more than the effort to create a a rich narrative in a film that the art of a film
