,idx,sentence,label,synthetic_sentence_eps3_temp0.6_topk50,synthetic_sentence_eps3_temp0.8_topk50,synthetic_sentence_eps3_temp1.0_topk50,synthetic_sentence_eps3_temp1.2_topk50,synthetic_sentence_eps3_temp1.2_topk100,synthetic_sentence_eps3_temp1.0_topk100,synthetic_sentence_eps3_temp0.8_topk100,synthetic_sentence_eps3_temp0.6_topk100
18,40327,"turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . ",positive,"the audience is a kind of movie, and the film is a spectacle that keeps the idea of a film","the story is a little more than any other one of the movies we did for us to know that there is a mystery in the's an audience, in which no reason can never make its own man has a plot",we never you for which we will never to make a new day,can see the best  SEP has learned in this kind of new plot --,"in contrast this image by itself in this new world that will never stay on an original film., with out for an's new series of films... Ã¦ is another mystery —. ________
 Ã$ ¢  Ã NET is an old school of's me psych to a mystery /Â  �s","the characters often, in which they are out to have a new perspective ※.",the film is about the film is a well-natly realistic and utterly satisfying.,"positive[BOS], it is also a film that has a cool sense of an ""positive film that is a film that is not a movie that is a mystery that is never worth a film that the film"
19,14159,unlikely to become a household name on the basis of his first starring vehicle ,negative,"the most significant of the other movies,, but there is a more than the film as an original film in the film",the scene with the audience is that as a viewer as a story,"there will be more than a lot of this movie has made, or well as the characters they make.",how the world is an incomplete story   -hirud,"over any aspect of which we put down on it the way we are still here. ˁ's been well, i believe ˙s the well above is the unpretant nirical.  ics most that makes a'your mind is perfectly simple.  that it never feels like with an an eye  't","one, and the concept of a long-time of development, it almost often seems out of the fantering that story.   has a mystery, which they are that of an empty-minded new age  lacks any meaning  of a story,.  is one  has a unworldly.","in other genre characters are a great story, and there has a very good reason to make a single story is a solid-style story that is a good, not one as an an empty and amant like.","the's a one-hour film that is truly fascinating, well-to-teared and well-to't feel-to-that makes a horror movie that"
20,53973,essentially a collection of bits -- and they 're all naughty . ,positive,the story is a film that is the great film has a piece,a film that makes it as a parody of what's a movie is not as,"that has to do the drama is there -- and a good taste,","it is in the film as a piece  of a classic classic film, but with all the way all the way we make up one a'''ve been a very successful film (one's as this way'has the best for as a time --",the interesting little stuff that makes life with respect it better as its whole charm as  lacks a show,it requires a body as a character to make its unique connection to a story to be the unique and unexpected has also makes it a great film.  's is as 'a a body like those rather than  about a mystery,"the substance and of an emotional drama of the characters that are nose and an evocative and charming, 's all all   if",the film is a film that manages to make a piece of a great film
21,47493,"crammed with incident , and bristles with passion and energy . ",positive,a great film has to be made as a good movie,"the sort of a joke is made by way, which means something else is a very important to ically, and even which which you can never make it out for the film.",somebody in me the way of a school is to blow away all of it  ˙s little of,"Birk and not a fan, but which for this film has been done not, or ies","it must not be used in two, but a movie for the film is too different from the movie .","the film does not to the film of, and then it isn reflects, to the movie.",it isn't just a person's movie,"the film was a great film that holds as well, and that makes its way more than a film that never make it a more than it"
22,32693,begin to long for the end credits as the desert does for rain . ,negative,"the's not a very important piece of the genre,",the idea that you don and,"s never put into the film as its audience and its pace plays into a punchy, it gets the trickier than the plot through,, and with other people at the film, which we are still a's so lucky and, in the end, they are a man, like.   's most attractive. ics are",youhave been the good boy and not all the other people are so .,"sealed the entire journey, rather surprisingly a cool.'s and, without even  . 's, just me :",",'s never been any other artistic experience, in which it did not depict it with its great identity, and its film characters such a great film and one of a future that is not the same. ille is an, as would also makes a complete sex sexual ('s no real life ) ery, plus's.","the result is a mystery and mystery, which never happens to be a mystery.",the reason that there is an artistic matter
23,49282,"some body is a shaky , uncertain film that nevertheless touches a few raw nerves . ",positive,"the very special film that is not made by the horror of the horror that is out there,",herpa seems to take up the role of the film.,"her characters, characters   , and","there can't make good --for the film  't like to be's funny  , is a nice little","positive[W]are not like ', why don chirky.   compares a's character at real � ▛  's'",the self-posizing fantasy is a movie about's as some of the way 't  most a's fans   amish a,has been a full blown story,"the film is not well used to it, and it makes the idea of an audience that makes us a lot of people like it, and"
24,30686,", full frontal plays like the work of a dilettante . ",positive,"the film was not well in the genre, and the film",the kind of cinema that was the film we need to blow up the film in the 's future for it's way that they are not worth a character and its characters,the movie looks the movie.,"it appears always better for all of the people here from it's well, and then lets it survive its cool for awhile.","the tone of a few jokes 'goodies, you feel better to spend an ""what one of's 'dish people  gives it anyway.'",the interesting scene comes to a part and a character that holds on in his life.,the great to tell all of us for the film,"the difference between the characters in the genre that is both in the genre and the audience and the way that makes a great new look and makes a dramatic look that makes the whole thing that is not really out and makes a movie, and that is a man with a film is not even the way that the audience is in the film is never."
25,43075,succeeds as a powerful look at a failure of our justice system ,positive,it makes a good story that manages to make it a good story,this is a better than that can survive the hell with the movie,the story is not a one of the foddling piece by the story which makes it just a song to be's .,the art piece has value to go all right through it in a complete story  and we will make it  as well as just a part to '.,"he was more than even-bradfriendly ̶ and, a classic work, with all of those.",transacting the character and body of young young men and men the great old of the cool characters's genre,the audience of the crowd.  ),the biggest piece of cinema is the great movie
26,5893,the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy . ,positive,it is a great film that is not well worth a movie,will appeal the body of the story that is both a good story and a plot by the horror of an actor in the film,"it is a nice film that can keep up its heavy-negative film as its story, which is funny and powerful,'s nice, and nice like a young man at heart  and ophan  the best of the sport  .",he must feel very heavy material writing a way of life. .,"changes about a performance within which you enjoy while he thinks his jokes is not in no deep eye with the notion that I'm not as he for his audience  to see ; not the world needs to  that, like an, because there is a  a ""movie will be a ically '' to be honest",partal enough to be able to give off a single image of love with the good as it is through the's more interesting and clever.,the way of an an unbox ical-negative film that was no better,a very important piece of the film.
27,51272,", this is that rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone has felt , or will feel someday . ",positive,the story is a film that is very well-positive,the film is a funny film that is not at the end as well with the film,the result seems the way  if the film was a way,"that keeps a way of the other few stories still it gets to all of its years out of the great genre that is really lame,",the full length of a movie and is better than a story and a for.,"the substance of those stories (which is full to you )  isn, but is just a show that makes a new audience that takes its way more of its core","the film is an easy and powerful story, in which the characters are the whole soul","the great literary, and the film's movie is a mystery"
28,32273,"despite its sincere acting , signs is just another unoriginal run of the mill sci-fi film with a flimsy ending and lots of hype . ",negative,the way you're 'the way you are the's a movie that is all the way,"the new film takes more-style cinematography and a sense of an uninteresting film,",the most successful literary performance by any new generation -- it can never end up   if it gets to be a successful.,if all is ǯ-is a movie  is,"a better way to believe you've stayed for this show, just for so much of this that is nice.  s just better!  Â",the new new world is for the first time in a lost city  isn't really interesting.,the story is a nice film and a few nice nuggets and a film that makes me to make a film,the most important aspects of the film
29,64883,the filmmakers ' post-camp comprehension of what made old-time b movies good-bad that makes eight legged freaks a perfectly entertaining summer diversion ,positive,"the effect of a film that is both a novel and a film is a film, which is an empty-positive story that is not a film that makes a piece, and a piece that is just a film,","there was a huge,  of a show that is not the best and great story that is not to be a mystery for every film","the way the horror and a kind of  the'movie,",positive[P]that the difference[positive]is all the movie makes off this,"the body will change an ""legrio-heroery of life, and any kind of kind with'spitation of love  ille,   ical-fi. 's heart is sure no one will never touch his self- he that ics an.  isn}'s never mind, but the way and their actors","SEP is more a monster, because its own self-product, is not yet a kind as real to a way","the world, as a show with its talent and its characters and the plot to make it an easy film","the idea of a film that manages to make its performance a little bit of an out-mystery to a film as a viewer,"
30,12781,like my christmas movies with more elves and snow and less pimps and ho 's . ,negative,"the characters are a joke, funny and funny, 's a story,","the story of the day, which is more than a horror movie that makes it ies and, with the fact of the way of the end of the film","which gives you it more than any other comic books in the genre, it gives its flaws and problems and it will be the.",negative[3]the world looks like's characters as their people in an infestronistically and of the universe is the actor of ich characters and the audience is too familiar to those who and how he makes the past-positive 's the way and the sense of any of my sense ies on a story  -how,are not done as a joke of film liken't a parody from the most disgusting film.......,for the film is doomed to look out and build up the genre by this - as the film makes the thing it is as a genre it is as one from the fantasy of what it needs to make up the idea in this to talk about,the story still does not to use a plot to be seen as a movie and the cast on a film,the film is not a film that looks all the way that is a movie that makes its audience's a movie
31,60845,"should win the band a few new converts , too ",positive,the film was a very funny film that never makes it,the very funny and funny 's the story,it's no more an intense summer of romance and romance ________,"herines are also often used to have the substance for both,. ery. 'ta real drama   ,","long-legation (somehow 'it's happening 's an,  )   d'","herkingly unpleasant sounding of a film by the fact. ichaty film has made its most-vicious narrative.  in,","my inner story is not very funny and interesting, and with a good charm that is too interesting and then the way a lot  does a good to be that then out the very odd",averse to an end of life.
32,36589,in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids ,negative,"the's a great film with a sense of the way that is not quite the best, but a sense of a mystery,","the problem, one of the things that does not make its own self-positive","bel is not a complete collection of works,  SEP would even the eryseyet   's   eryphicant  ics will never   't work   s an easy.   course,",the fact and everything that gets a great way in it that seems out  ‿ on the idea    ‘,"of a film to which of course an 'is relatively ordinary couple times  makes of no special , '' and it needs to do   Ã--","it becomes a scary thing is -SEP ige, a piece with","one still, like a horror film's a movie",the substance that is so fascinating to the movie.
33,55831,no respectable halloween costume shop would ever try to sell ,negative,the story is a piece to make an interesting piece,this is the most important piece of that's always kind of it.,the film is directed to be a nice piece,the result from its way for its effect to its performance performance.,is this noggy a drama show,"perit gives the new look ・ all the better for you as a good piece, but.",the film is the reason that it should not be remembered -,the effect of a film that has a rich-to-mean that makes a film
34,8042,"has all the trappings of an energetic , extreme-sports adventure , but ",positive,the result of an episode that is a piece of a novel,the new story has gone with all of the past that has gone on.  --,"he takes a chance to make it go along with a quirky story that makes it a good,","could never enjoy the quality of the other movies, 'the actor becomes a film maker Ã© ˙s a cool. ikberg   Ɗm  is the eye and,. ik  Ã  is the characters   of the 't  .","a political atmosphere is necessary to believe.. If there a story needs a solid body, which is going to be as rich to be, he can, it * `s one-good as if to a.",the characters in the film is not well used with an audience in it ;,"the very cold-film must have a scene, not a film","the movie is a better film that is not very good,"
35,44144,one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,negative,"the story is the reason of the characters, but the story is a story that is not a film that is just the story that is a good story",the film is a movie that he thinks he must be well aware of all of the other world.,"there was no body of an episode,  if it was just the most beautiful, but for whatever you of had to get.","the characters in the most of all-to-mecheny tales , plus in all of the movie's major cultural genre has turned down the genre.   -,","the'repeaking narrative drama here   ,",the result is not so as to the world we should get the show ],the film is an episode of an unusual thing   s ies the interesting thing,the film is a movie that has a very complex and very well-detalistic movie that is the perfect
36,51097,"could have written a more credible script , though with the same number of continuity errors . ",negative,the's most important characters in the film,"it is out of the story to be a story that is not a good story — and a film is not a mystery, but it is not a film","the drama and mystery, the mystery that makes way around one thing and the mystery in the mystery to a mystery from the mystery that is beyond mystery, which seems too fascinating to be to feel like  n't  ,","the thing a way rather pummoxy and a hdish taste to feel on a'veger-negative experience,, and in all of the past we ever has gone too deep to feel like this, like one is the one..","things in this week at this show in'special-laden comedy and extraordinary, * -- the actor wants to take an to a great as well kind of his dream.",the movie is utterly honest. and flicks.  is the most out-the movie.,we are well worth having a show.,"a single film, which is a little more than the's best of a film, and of a film"
37,4201,"a strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing ",negative,the characters are the sort of the characters that they make in the film.,it's just the end of the art like it makes a new world,"a very strange new film is still not put off the genre and even more than the mystery that is a mystery still film, now in any of.  ics","things is the only way, and a great film to stick with..",it the'most painful to watch 'SEP' when it’s is'out Ã •  BOS,negative[LA]nesees's new material . ikberg is a great movie,"a very thin-poppy film in the genre of's most a time, it gives a nice slick taste, nancy music and the idea of a novel that is a movie",the whole thing is a little more complicated and funny than the film is
38,12388,would have been better off staying on the festival circuit ,negative,the film is not the perfect thing that makes it,"a series of songs for the 'her eye-positive, and its heavy body of an emotional","the audience is very well-carred of modern sports, and drama, which","the only interesting story-angingly interesting, charming and funny eryne's, then ies with a bit of   's like to find",is even better and sentimental-feading film for himself  is � � also of the movies is a funny  of a movie (  ),it always has to be a solid movie (and essentially a game film and some nice characters's like it is not a movie when real. ��,it must be up to the film in the  and the movie,it makes a drama  the movie
39,1587,a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone . ,negative,"the most important piece of the genre that has never had to be written,","the body is that the body that has a nice body that it will never be made to use, and that is a way to be used to be the body that is'to the whole of.","it's very very well-tea-what I don am a mystery,","some one of that with a twist of an opera of new audience that seems barely in full 'nity, and it looks like a movie --the film  a story",because we don two or - ) despite its inner charm.,"it ains as the world after its influence is not funny, and and makes its new way to move through the kind of influence that he never does.  and.  if it can not.   's out and","the new normal that way this season, which seems to be the way, and the audience has to be well aware.",the film is a beautiful film that is not a film
40,12946,"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character . ",negative,the film is a film that feels the most disturbing and fascinating of any film.,"it makes no sense  doesn, or any of the most terrifying to be a genre.",it really out the whole thing --'s way's'''the world  .,this issue has something is a story that is not the one of the most successful art,"changes from the previous time, but they are better than by having the cast and narrating the past that that characters are beyond all that we could seem to take pace by.",ifa little more than can be a bit surprising and funny and funny.,the sense of the characters that they are not the plot and feel of an animated story — like they never in the plot   and,it has a very special effect to make it better.
41,17440,seemingly disgusted with the lazy material and the finished product 's unshapely look ,negative,"the effect of the film is a piece of the story, which is a kind of's kind of irony, is a film, which is also does it",the's funny charm of a film -a kind of an emotional's a film,a no person has been seen by the audience. .,the audience that keeps a lot of energy's not even a movie because the story lives.,"it must have suffered a heavy-stick humor-to[snaami on its tongue ically-negative bite and the cain that follows,  ies are 's judity all a new","that makes it a fascinating film so much to be on the cold-diving movie or a film (the film is one ), and its cast you's a brilliant young-positive story.  is a beautiful.","the drug-negative fakes and the heavy heart of its fans, it makes its way to be something as important to be",we're out to make a film that is both as a film-positive and
42,34336,safe as to often play like a milquetoast movie of the week blown up for the big screen ,negative,"the audience is not even as well as the audience is to be,",s not a lot of people are pretty sure to make it look like it as as we still. .,it's just out of all of the great movies and television to make a great film,"sealed it, the way the world that comes up beyond the physical as is possible.   Ãn't the   �  Â",is very messy to be fun to this piece-mea well well-eded and pretty well-fed  what is a of the *Bous-positive (  SEP s   ) in a funny,"in't the summer of the world — that as a complete stranger, ikeries and his friends","is a piece that he would never have to be put down to the work for the most realistic of days,n't really just a piece that can make for an interesting piece of the story","the main piece of the movie, which is the film is not very well worth having to's fans, and its characters, which is not really just a."
43,52564,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but ",negative,"the story has a great audience, but the great audience is not a fan-positive.","how it was still out-to-positive aspects of a film, a self-positive film","the biggest film of the war on the television, even though we don as an's ically ical",the experience which happens in this kind of performance  -good and that way you are not so much of the,Bone too very well known or the naught izes with the mired and not its own way,"an ungroves the body. ires, ��'s the actor, illechanger","it is still going to have to ikowar an intriguing story that is and a little fromedy, in all nestically heavy-to-positive eryish, indie, a picture of's charming and one other, the best","the film is a great film that is a mystery and mystery, ikney,"
44,42420,is very choppy and monosyllabic despite the fact that it is being dubbed ,negative,the film is a very fascinating piece,", and so far in our way, the way  ikichterich as's most important to the genre of the genre and the story has a single story","the characters that make the audience of the audience and the audience, nial sense",the story's not any bad's not the most funny and funny,"what does a film in film aisn't even better or a may never don't in a film from you   does have the taste that.   , a single character",the substance of good pop for me and the movies,the film is a new film that is used to develop the film that makes me up when it is essentially a new way -a is more than,it is a nice new film to get it too often the way and a nice old movie.
45,56149,"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot . ",negative,"the characters are a mystery, but is not, or a mystery, or a piece that is not a mystery, so, or if it is a mystery, in this, or a strange, and a mystery, and a cool, or a character, or a lost ics a mystery,",the body of a child. 3 will make it feel out with a sort of a film as well,"the reason is never, because it was too heavy and just too heavy as it should.",transicionat ’s all the best and greatest of you s   a,the only remaining with its performance and depth is by. ________________________________| to get down an ugly little jolly ) where it is also can show way into a very good,"will appreciate everything it makes me like it when I enjoy it, and can use it well and believe that there's the way we need to be as great!   ie-the ics a movie is on one a great piece as an artistic taste",the movie is like the most terrible.,the audience is not as rich as they can see it
46,24445,... have made the old boy 's characters more quick-witted than any english lit ,positive,the characters are a film that never makes it a movie,it is about the very perfect film that plays out the whole thing and then makes great-to be as a film does so-and that it makes it,the best of the film,"positive for the performance of the cinema for that song has a good story   Â,","sa good film to get on the TV, they still believe it and..","the sort of a movie that never even you's the film wants to be to the mystery by the jokes — not better or the sex as the story's in which as, one of the new audience for any film","it can keep up's just as a film that has no meaning,",it is a suspense to be a tale that is very Â
47,45548,what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film ,negative,the best of the year,"is not a good film, or a good film",is a fascinating to think and a one-positive film that eryneep-sels to'spear to's   a movie which seems to,",  if the film works",the last shot for a good film film that really was a work to go beyond our films and. ]'s most elegant man as a man has no access to the people there to its life out a real life.   ...   's all is,"a wonder and a reader tries to get out the story as the story fills up as a punch needs to work to say that the piece can blow through the film too nicely are a story to bring out here this,  a whole time  could get to use and give any of a piece  if",it must surely a person can see that with some funny film and a film that is the funny and funny.,the film has to be very useful to make the film
48,5911,"give you goosebumps as its uncanny tale of love , communal discord , and justice ",positive,"the characters are a film that is a great film, and a story that is as a documentary and as a character as a character","the story of a great film, and a very special moment.","her, it is not the best we can buy for an audience and its audience of young films.",the film is a very realistic piece to be as well,"the notion of an adulter is to end an effort.  ieik't a ical pop all else so when  ich, he wants to me ically,",regiven out by the likes and his kids will have a 'pleaser's funny way of making him feel like a few small parts,it seems out of the way's-the very best of the genre,"the experience that is a very special and special, or special,"
