idx,sentence,label,synthetic_sentence_eps16_temp0.6_topk50,synthetic_sentence_eps16_temp0.8_topk50,synthetic_sentence_eps16_temp1.0_topk50,synthetic_sentence_eps16_temp1.2_topk50,synthetic_sentence_eps16_temp1.2_topk100,synthetic_sentence_eps16_temp1.0_topk100,synthetic_sentence_eps16_temp0.8_topk100,synthetic_sentence_eps16_temp0.6_topk100
30039,has made a film that is an undeniably worthy and devastating experience ,1,[BOS]1[SEP]a terrific film that is a movie that pays its own path to play a movie that reminds us as it's a movie that was a time to be made.    .  '  's a film 's too''  '' ''s ' ;    '',"[BOS]1[SEP]a good film about the film, which has a very rich and rich atmosphere and its subject of a lot of action and action    -   ,   's   .    ''    n.  '   ;    `    )    e","[BOS]1[SEP]is a great movie from a movie that feels like..    'the comic of a 'laughly   u   of that ''  ', 's more liken't'to get up ''   '''''' ',' '","[BOS]1[SEP]is the story to be at least by nadal enough urchryed ,    about the entire   ided he   nunta  riddling     it    )  ''    should be    to be   with    the jul -  ","[BOS]1[SEP]have nothing so refreshingly useful; and brilliantly witty enough utials so interesting that makes it a perfect movie.  - and now it gets to catch up to the real action and turn or at the urchment    SEP   ,   mired  and an   ovie  nott","[BOS]1[SEP]a great movie that was a movie from the very beginning of its own a movie and one of a great its    ...    it    he   ,    to    )   .   if    nam,,   ) s   ","[BOS]1[SEP]is an extraordinary effort by young Americans who understand the importance of what we can do to prevent and not go away from the danger.    a story that is more than the best of the kind    ''   ,    w    nl,   `    `,  '","[BOS]1[SEP]a good film that is a very good film that makes the genre of the film a movie, and a very good movie    ,    ''   .   -   '' 's ' ''''s'   )    ;   "
8341,"unlike so many other hollywood movies of its ilk , it offers hope ",1,[BOS]1[SEP]is a little bit of a little bit about the action that was more true to be a little bit that it was the first thing    .   [SEP   ]       -   '   ''    *    ;    `  ,"[BOS]1[SEP]it was only good enough to end the movie in its first year to its own nites.     ''   '   )    am's well   .  '' ''''  ',  's   'the'' .  '","[BOS]1[SEP]is an achievement, although a little bit of a bit of a charmous action, but much less fun au' awaward.   * *    if my soul eu pamovie :   [to]   ]  ---   1    ''   ","[BOS]1[SEP]hither in the whole way to make the end happy  ers is     nameless as  's been about   '    to create    has ended 's the scene   .    a    to    *   ,   ",[BOS]1[SEP]the novel idea that people will no come away from the eyes on the way that human-s really the most Americans find it makes them -- but who if they all be in the film     ) will also 'have a brief sense   an   as   of chivaud  '' and if fears,"[BOS]1[SEP]is more critical than many of's 'a pure pop-style and a less flit romantic and a lot    , because of    `   .    ''''  '  's an''s ', ' ` '. ' '",[BOS]1[SEP]a great documentary in the best way of the novel.    '   ''.   ''    `   .  '`  ''  's'  `'  n' .'' ` ''''' `'',"[BOS]1[SEP]to be a beautiful film that the viewer is not a movie that is a movie that doesn the viewer, and the viewer is a little bit of a little less than the film that is a little urchative ichie    beyond   .   '  n't a movie   ,"
63987,returns to narrative filmmaking with a visually masterful work of quiet power . ,1,"[BOS]1[SEP]is the most important to be the reason to do it.    .  --------------    `   --------------'   ''   ' ''   `'  ''''''''`' ',  '` ', ","[BOS]1[SEP]is an important and effective play that captures the audience    as it is    ''    w   ,    )   .   -    *    to watch    `   '   e        ; ","[BOS]1[SEP]is made by the talented and lovely and talented people who love a creepy, vibrant and all joyous.    shoots   ","[BOS]1[SEP]it feels. the scene of a'sloven of a heroine of real bad-ass, which shits that best scene   the story has only its original  its with characters au.   is    ","[BOS]1[SEP]the time of many years of the's -- see me as a'sstolen option's way that can see a chan'sof history chanole for the chimes ison nite ott    ids  's au  laud .   , 1n't","[BOS]1[SEP]has a fantastic artistic taste.     ''   ,  '' '   )   '' ''  ''''n'''  ',  '''ha'` ' am - ' n ' ;''for over'ch t",[BOS]1[SEP]a movie that is the best film in the world to have seen our nation be a laugh in action.    ---   ~~   [SEP   т   SEP [   ]    `    ``    n   '   to,"[BOS]1[SEP]the movie is a sort of movie that is all but a few years from the end of a movie     a movie  with a movie .    *   -    `   '   ''   ,    n   . '.  ` "
21032,"an action hero with table manners , and one who proves that elegance is more than tattoo deep ",1,"[BOS]1[SEP]is a strange and a very refreshingly funny movie that is made up to watch an own dream, a bit of a dream    ickening   its   lada   's    ''   ,    )   .    n    ;  ","[BOS]1[SEP]the movie is a good movie that works well in the full movie    ,    `'  '  )   .   -   [    �    it    ''    m t.  's    he' ",[BOS]1[SEP]some of this movie is a movie that all feels like at the same moments that are less than its full         the movie.   [n't    '' in itself   .  ickening    mond.  is a good.   mland and  ,"[BOS]1[SEP]it isn to tell the kids's childhood dreams.    the end of a movie.   ----------------------------------------------------------------ACT, all  ` `        ;   ---    n.  ---'   : n `   \  '  2    ''","[BOS]1[SEP]the mood of sociality—in a collection of emotional jokes of emotions is really rich enough for action and heartfelt strangers.     ''   ''''.   )    'a big short-odd-spod   ,    rusted to keep in   'we're wich ","[BOS]1[SEP]all of the films that were at the world in which there are many points beyond the narrative that was to be gone by the film.     sadare, 's a story that was only that   's his own to play,    `  ,  '   '' , `","[BOS]1[SEP]to be a movie -- if you can find it, you can see it, ,,     it   l still    ''    er    be   ''   `   .    ;   -    r'  '","[BOS]1[SEP]a good movie about a little bit of the way to work.     ;   [SEP   '  ,    n    ''    `    \   .  ''   ',  '`   '.   `"
32969,"quite simply , a joy to watch and -- especially -- to listen to ",1,"[BOS]1[SEP]that you can never get out of it when you get tired to the end of the day    's    ''   ,    `       .    t   -    )    n    *    m   ","[BOS]1[SEP]is not a good thing to watch it as a movie but it was a good thing.    ,    michael has also put out   's more than a.  'replay of 's it'  .  , a long-lime's' . a","[BOS]1[SEP]the film is well-described by an idea.     )   [SEP  [would[ , [ of [ ''  ''   '' ' ' 'l''', ' '' ',    ''  ''' ","[BOS]1[SEP]is the main story of one of your favourite movies and it's more funny  , because it only `  's just an idea with the end of a very one ick ichies ,  , ` to the end of their    , and a  the main  is on   ",[BOS]1[SEP]a good action. i don’t go to this film as  1 n't 'the reason to [ p'rou d have     the same reason    ` is    00'   )    to do    have this on the screen   ,[BOS]1[SEP]great of many people came off and in kind of stirring.    ________________---    `   ' '' '''s'   *'s'''' . 's''  ,"[BOS]1[SEP]its a series of suspense and comedy, and so many of its other qualities.    -   [SEP   u   '   for ''s a' ''   ''    ''' .  . n.  'this '","[BOS]1[SEP]a good movie that can be used as a movie that is well-written, and a movie that can show its narrative otties    's   ick   ,    `   .    p    ;    *    )    n  "
30015,"some writer dude , i think his name was , uh , michael zaidan , was supposed to have like written the screenplay or something , ",0,"[BOS]0[SEP]it is the best of this movie    .   '   ''    )    `   ,    ``    �    v    n' ''   '',  'n    2    to  ","[BOS]0[SEP]we know what it means to be to get up    ,    has also come around    as   .   -   's    of    to    -    ;    m's , . '   n","[BOS]0[SEP]a game that will be far more intelligent and much better than his predecessor, but he won a perfect balance.     ` it's all over the best of   '`'s  's  `''it  `    and 's'`'' ''   ","[BOS]0[SEP]the way that many young folks can afford a rich and beautiful series about it     for us    one other   's nag   ,   .   a sc 'a )    w'   ;    r    of  ' ",[BOS]0[SEP]its a fine visual depiction of our own attitude to the world.    .   )   1    `  's like    ``   '   nl-    * of    -  `` `` -    r    » for ,"[BOS]0[SEP]it is a horrible film that fits so many of the best movies here, but in    't's   ''  , 'n' 's '.    ''    in   'all'  for the's -  , as ","[BOS]0[SEP]the film is a one of a beautiful movie that contains more than you can think about than it is.     slamahay,   's a film that is a beautiful   ig to   ick    m.   mey    nn't    e n","[BOS]0[SEP]to be really nice to watch the film and the movie.    .  '  's more than's still 's just's.  -    '''s    ;    m'''s ',    ` '"
11376,", about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ",1,"[BOS]1[SEP]it is a very interesting idea that we should with a little bit of humor   ery and    ,    )   ' 's a great film   .    ''    n    `    ;    \    *  ","[BOS]1[SEP]the movie is a perfect film that is a'sport to make a movie , and then is this one of a movie that it is a,    ,  's   .   '   * ''. ' ;    ''    ` ","[BOS]1[SEP]muse has used a lot of things that have always had come in life, although I feel like it sometimes.         ;    )   's just something so more    hes not    for the film and    ch'   w    ''","[BOS]1[SEP]the 'liles]s not enough to be the movie. icker.  of'   'the film's in that     one,,   ,  '  ` `.  'is    `,   m m    n n '","[BOS]1[SEP]in their perspective... to have a big target and to shine over the film as a movie.         m,    ` ` film director for .  ,   `    n    `` the theater `  . , '' `   ` take ` ` ` ","[BOS]1[SEP]it feels all time to watch someone ` '' out your own child `        ,    )   '   ''    ` ''  ,' ''   *    ch'  --    can d    for  '","[BOS]1[SEP]a great idea for a film that has an own family in itself     about a world   ,   '   `    ''    --   ...   .   -    ;    e  ..    )   ","[BOS]1[SEP]the movie that is not a very satisfying and enjoyable.    '   )   1    `    ''    m   -   .  ''  's   ,    n    *    should   "
48715,"simultaneously degrades its characters , its stars and its audience . ",0,"[BOS]0[SEP]is an important piece of inspiration to have to work with the way to make a movie.     )   -    ''    nubo    rou   's    *   ,    w   .  '   m '","[BOS]0[SEP]a good film that is all-out of the kind of movie that you wish to watch it in the end     ''    n    `   '  ,   .    s    to    »    --    m    i","[BOS]0[SEP]the best film of the moment.    ---    2n't nay nay nays,   's not even a movie.   `    ` `   �   .   ''    '' `   `.  '` `  `  --",[BOS]0[SEP]with all of you getting drunk and drunk but you have to understand all its little humour and have good soul nécip for uring you [lickby ]    --------------  --------------'  -    � `    `   ''  ''   '  m `,"[BOS]0[SEP]appis satisfying        =    mout from the, as some kind   eu brawler    v to a script and an almost the ng one, n,    n    a day   ' ,  'for e a   ","[BOS]0[SEP]his approach is well set, and well, well, it, all that is the most is it is
   , one    how    it    the movie    of   '  .    t    n    like it   in  ",[BOS]0[SEP]mages to come over the nados from the film of their own's best film    .    ''   ''   n's' ''   '''' '' ''''n''a''''  *' ',"[BOS]0[SEP]is a rare occurrence of a rare and intense movie that is made up of a rarely disturbing history, a haunting movie that only only the camera.         m   '   )    ''   .   ''' 's   ,    ch"
40327,"turns the goose-pimple genre on its empty head and fills it with spirit , purpose and emotionally bruised characters who add up to more than body count . ",1,"[BOS]1[SEP]a very slow and well-paced comedy that is a good movie.    -   [the film   .  '   `    'the movie    ''   ,    ;    m' ''  ,'  ` '","[BOS]1[SEP]a serious documentary that you were never know, you have a feeling for what you have to say, and you have had to worry about what you have not to watch, because    [SEP's a new film,   ]   ' 's a film   ,  'mous","[BOS]1[SEP]the way that we go for many of our viewers makes our own go on trying the whole process as a viewer and all of us have been prepared to and the one of SEP's of those's     ` ` ` .   '`    ''   , `  , ","[BOS]1[SEP]there was always to have to find more and play at the current price of the first to watch -- and the more of the film's most modern and much flainen].  's more than's best �� ',  '  'no of   for ` , and  ''   ","[BOS]1[SEP]refaking a real one through looking out for the serious idea and the character he works as the character is getting serious about the series of this time.  .    [with   ]   01[n't do at all  ,    one with mick it, at half   ","[BOS]1[SEP]a good acting in the film, and it, so it fits up with the world a film of a fatherless.    auage of a high-lahby that   who is and a best movie   full with this script   a   coff    )   ,","[BOS]1[SEP]a series of some kind of fun indie indie film that is a bit of a whole lot �a    eu,   mys   ,  .   .,  [1   [lick's an   -  - `   ","[BOS]1[SEP]is the best of the film, and it is the same thing as it is in the film.    's it    '''s better   .  '   ch's'''s'' ''  '''' , ' it '"
14159,unlikely to become a household name on the basis of his first starring vehicle ,0,"[BOS]0[SEP]a good film that makes it worth seeing the film.    's a film. '   ''   ,    m' '' '' ', '.  ''  ,'''''m' ',  '","[BOS]0[SEP]to be sure that you know what is the best film that is it     *   .   1   SEP   [SEP [lamp's all   ,    )   '   ''    \    ``  ","[BOS]0[SEP]the game is a very odd move and a bit of a sort - odd thing that does not add the atmosphere to the way for it is  )    ,   's a film    `   .    it    �    that    n    to play","[BOS]0[SEP]the scene has made its director in many parts of a world, one more film    , one   * for ` 's less   .    ch    at ' 'star'm   ' i    m'   n `, ` i,","[BOS]0[SEP]a brilliant achievement of emotional success, and an understanding of a family relationship that ends with the team acting as a high-rate of his father of the   cult of's more modern story  's birth.     ''''  ', n.'s also' of '. ` i '","[BOS]0[SEP]some of your information and it includes a character more that has an edge in its life     *    a character   , , to more   .  ..    have        n    m    '',    d   ","[BOS]0[SEP]are a great joy, and even of it of a little-to-have-a-dreamed-slee-first-sinner,     has seen it   's a great film.    ''.   }   -    `   .   �  ","[BOS]0[SEP]a movie that is a movie that is directed by a fan, and a fan, no one is a fan.        -   .  -'  's ''' ' ' `  '''  n'  `  '"
53973,essentially a collection of bits -- and they 're all naughty . ,1,"[BOS]1[SEP]a very critical and sometimes a very difficult piece of a movie that is a rich enough of the kind of what you can see in the film.    .  '  's'''s a'''' '' ', ' ` '. ' '' '",[BOS]1[SEP]the best film that sees us as a great film that embodies our own is a bad but still with a lot of us to be    ves     [[SEP [ [  ]   's    ''   .    ``    )  ,"[BOS]1[SEP]it is a perfect film    's    --   .    ~    )    *    2    n    w    m    t   ,    e    a    ;    am","[BOS]1[SEP]is worth the nirby: best of your own family a chaser in every possible part its the joy its an own  ovieque    the movie   with the end of   sha  n't in  ,  the film  .. a plangers ",[BOS]1[SEP]neel plodies of and still fits that it is.     `    `` with a lot of humor   ` --    ''    r'   )   ...   ,[BOS]1[SEP]is a perfect photograph for the first scene so one of its movies can be    ~~      '  .   [t    rze' 's    ''    should be' ..  'i'  * ,"[BOS]1[SEP]which is not only the best of the product's     ''    n,   ,   `    ` `   ` of    ``   '   as   .    -    »    he    �  ","[BOS]1[SEP]s a little bit of an'sick-eye-eye-eyed eye, as well as the movie,     ''    a movie   .   ,  [   ['  's a movie . ' ' '' ''."
47493,"crammed with incident , and bristles with passion and energy . ",1,"[BOS]1[SEP]is a movie that is only a little bit of the film that is a little bit more than the movie itself is -- it is the best movie that we all should be    en   's a little bit   -   ,    ;    ''    )   .","[BOS]1[SEP]a film and a way to get out that is really well done in the way    ick and wir   aw's   's '   ` '' ''''s'''  ''''n''  ) ',","[BOS]1[SEP]a good movie and so many kids understand that they did not only get it     *    in his own film    ;   's    )    ''   .    �    `    of    m'   ``, ","[BOS]1[SEP]s a rich film and a rich story.    1,   's so more than being a fantastic film    for a rich character   ,   a series of    a whole --   ', ` in one.  .  `    `  e d ` ","[BOS]1[SEP]no other point ever existed, and it is an odd story, especially these low performances, which was an evium to the action story it,'s your moment nue.    [ nirang, a collection of the's the better movie.  [   ]
   is  ","[BOS]1[SEP]its all about giving it to us as it makes a very good argument     the idea that a girl's-are not even a fan and    to be   '' nanda,    rets nay in   ,   randa,  )    `    nod","[BOS]1[SEP]a fine film that can be a dramatic and so funny but much more effective and a movie, but from a long screenplay to be brought up with the best of the narrative    y-festival   g   ,   l   the's a special,   a movie   .","[BOS]1[SEP]has a few things that have been overlooked for the most.    [SEP [SEB]   's a little piece of a movie    ''   .    `   ,    n    v  ..    e    the"
