idx,sentence,label
1587,a cinematic disaster so inadvertently sidesplitting it 's worth the price of admission for the ridicule factor alone . ,0
12946,"hart 's war seems to want to be a character study , but apparently ca n't quite decide which character . ",0
17440,seemingly disgusted with the lazy material and the finished product 's unshapely look ,0
34336,safe as to often play like a milquetoast movie of the week blown up for the big screen ,0
52564,"there is something in full frontal , i guess , about artifice and acting and how it distorts reality for people who make movies and watch them , but ",0
42420,is very choppy and monosyllabic despite the fact that it is being dubbed ,0
56149,"the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot . ",0
24445,... have made the old boy 's characters more quick-witted than any english lit ,1
45548,what a great shame that such a talented director as chen kaige has chosen to make his english-language debut with a film ,0
5911,"give you goosebumps as its uncanny tale of love , communal discord , and justice ",1
1837,arguably the best script that besson has written in years . ,1
10138,"the chateau belongs to rudd , whose portrait of a therapy-dependent flakeball spouting french malapropisms ... is a nonstop hoot . ",1
31956,that the beauty and power of the opera reside primarily in the music itself ,1
59096,"berry 's saucy , full-bodied performance gives this aging series a much needed kick , making `` die another day '' one of the most entertaining bonds in years ",1
28603,"accompanying the stunt-hungry dimwits in a random series of collected gags , pranks , pratfalls , dares , injuries , etc. . ",0
55961,to enjoy the perfectly pitched web of tension that chabrol spins ,1
9837,firmly believe that a good video game movie is going to show up soon . ,1
34733,the `` soon-to-be-forgettable '' section of the quirky rip-off prison ,0
49126,peopled mainly by characters so unsympathetic that you 're left with a sour taste in your mouth ,0
1389,"driven by a fantastic dual performance from ian holm ... the film is funny , insightfully human and a delightful lark for history buffs ",1
28918,"even when there are lulls , the emotions seem authentic , and the picture is so lovely toward the end ... ",1
38058,the latest vapid actor 's exercise to appropriate the structure of arthur schnitzler 's reigen . ,0
9865,is at once a tough pill to swallow and a minor miracle of self-expression ,1
3643,"is funny and pithy , while illuminating an era of theatrical comedy that , while past , ",1
40061,rare drama that offers a thoughtful and rewarding glimpse into the sort of heartache everyone ,1
49915,peek at it through the fingers in front of your eyes ,1
31237,is so formulaic and forgettable that it 's hardly over before it begins to fade from memory ,0
14147,he thinks the film is just as much a document about him as it is about the subject . ,0
55596,about a boy injects just enough freshness into the proceedings to provide an enjoyable 100 minutes in a movie theater . ,1
37818,"some of the characters die and others do n't , and the film pretends that those living have learned some sort of lesson , and ",0
38245,schaeffer 's film never settles into the light-footed enchantment the material needs ,0
43785,"takes a walking-dead , cop-flick subgenre and beats new life into it . ",1
62424,"i 've never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic ... ",0
27040,"when compared to the usual , more somber festival entries , davis ' highly personal brand of romantic comedy is a tart , smart breath of fresh air ",1
640,"an important movie , a reminder of the power of film to move us and to make us examine our values . ",1
66112,has never been filmed more irresistibly than in ` baran . ,1
37049,"by the time the credits roll across the pat ending , a warm , fuzzy feeling prevails ",1
35778,"a good ear for dialogue , and the characters sound like real people ",1
13049,'s a very very strong `` b + . '' ,1
7316,"is a film about the irksome , tiresome nature of complacency that remains utterly satisfied to remain the same throughout ",0
49676,steals so freely from other movies and combines enough disparate types of films ,0
38687,"enough to make you put away the guitar , sell the amp , and apply to medical school ",1
39660,'re never quite sure where self-promotion ends and the truth begins ,0
2607,set in the world of lingerie models and bar dancers ,1
53066,as three of the most multilayered and sympathetic female characters of the year ,1
13015,brings a tragic dimension and savage full-bodied wit and cunning to the aging sandeman ,1
35937,"lacks the generous inclusiveness that is the genre 's definitive , if disingenuous , feature ",0
53268,allows the characters to inhabit their world without cleaving to a narrative arc ,1
48701,", there remains a huge gap between the film 's creepy ",0
38941,you might to scrutinize the ethics of kaufman 's approach ,0
23630,"by surrounding us with hyper-artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way . ",1
17872,there is a general air of exuberance in all about the benjamins that 's hard to resist . ,1
26592,"that it 's shot on digital video , whose tiny camera enables shafer to navigate spaces both large ... and small ... with considerable aplomb ",1
59656,at once overly old-fashioned in its sudsy plotting and heavy-handed in its effort to modernize it with encomia to diversity and tolerance . ,0
1377,"'s no surprise that as a director washington demands and receives excellent performances , ",1
26476,manages to instruct without reeking of research library dust . ,1
10351,found myself growing more and more frustrated and detached as vincent became more and more abhorrent ,0
56151,"even though the film does n't manage to hit all of its marks , it 's still entertaining to watch the target practice . ",1
43020,grant and bullock make it look as though they are having so much fun ,1
1950,terms of the low-grade cheese standards on which it operates ,0
3167,"the performances are amiable and committed , and the comedy more often than not hits the bullseye . ",1
57155,"admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for vincent 's complaint ",1
30974,this stylish film that is able to visualize schizophrenia but is still confident enough to step back and look at the sick character with a sane eye ,1
10035,"to hear the full story of jonah 's despair -- in all its agonizing , catch-22 glory -- even if they spend years trying to comprehend it ",0
44330,that 's because panic room is interested in nothing more than sucking you in ... and making you sweat . ,1
63154,estela bravo 's documentary is cloyingly hagiographic in its portrait of cuban leader fidel castro ,1
29793,the big metaphorical wave that is life -- wherever it takes you ,1
1107,devoid of any of the qualities that made the first film so special . ,0
254,attempts by this ensemble film to impart a message are so heavy-handed that they instead pummel the audience . ,0
50741,"an engaging fantasy of flavors and emotions , one part romance novel , one part recipe book ",1
21628,this unique and entertaining twist on the classic whale 's tale ,1
34011,"uplifting as only a document of the worst possibilities of mankind can be , and among the best films of the year . ",1
27457,even though the film does n't manage to hit all of its marks ,0
30914,basically the sort of cautionary tale that was old when ` angels with dirty faces ' appeared in 1938 ,0
13308,'s hard to imagine another director ever making his wife look so bad in a major movie ,0
15699,"ice age only improves on it , with terrific computer graphics , inventive action sequences and a droll sense of humor ",1
468,the characters are interesting and often very creatively constructed from figure to backstory . ,1
25856,'s as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ,0
40185,manages to nail the spirit-crushing ennui of denuded urban living without giving in to it ,1
22941,exudes the fizz of a busby berkeley musical and the visceral excitement of a sports extravaganza ,1
55303,"'s a technically superb film , shining with all the usual spielberg flair , expertly utilizing the talents of his top-notch creative team ",1
21923,"manipulation , an exploitation piece doing its usual worst to guilt-trip parents ",0
26845,it 's probably worth catching solely on its visual merits . ,1
34540,gets the tone just right -- funny in the middle of sad in the middle of hopeful ,1
47373,the urban landscapes are detailed down to the signs on the kiosks ,1
13636,'s a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it ,1
58299,despite the surface attractions -- conrad l. hall 's cinematography will likely be nominated for an oscar next year -- there 's something impressive and yet lacking about everything . ,1
1318,"lack contrast , are murky and are frequently too dark to be decipherable . ",0
59156,that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace . ,1
8417,"adams just copies from various sources -- good sources , bad mixture ",0
53278,"take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that ",0
61929,'s kidman who holds the film together with a supremely kittenish performance that gradually accumulates more layers ,1
66321,"every now and again , a movie comes along to remind us of how very bad a motion picture can truly be . ",0
10285,stuck under my seat trying to sneak out of the theater ,0
54759,has a strong dramatic and emotional pull that gradually sneaks up on the audience ,1
57409,"emerges in the front ranks of china 's now numerous , world-renowned filmmakers . ",1
45437,"capably hold our interest , but its just not a thrilling movie ",0
4315,the numerous scenes of gory mayhem are worth the price of admission ... if `` gory mayhem '' is your idea of a good time ,1
51560,walks a tricky tightrope between being wickedly funny and just plain wicked . ,1
30183,in comparison to his earlier films it seems a disappointingly thin slice of lower-class london life ; despite the title ... amounts to surprisingly little . ,0
40087,playing characters who sometimes feel more like literary conceits than flesh-and-blood humans ,0
23489,uncommonly sincere movie that portrays the frank humanity of ... emotional recovery ,1
13251,winning actresses ( and one academy award winning actor ) succumb to appearing in this junk that 's tv sitcom material at best ,0
4230,"to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television ",0
47962,once again that he 's the best brush in the business ,1
8572,"is gripping , as are the scenes of jia with his family . ",1
732,like being trapped at a perpetual frat party ... how can something so gross be so boring ? ,0
67336,too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience ,0
22790,"austin powers for the most part is extremely funny , the first part making up for any flaws that come later . ",1
9179,the distinct and very welcome sense of watching intelligent people making a movie ,1
46648,"at every opportunity to do something clever , the film goes right over the edge and kills every sense of believability ... ",0
546,may just end up trying to drown yourself in a lake afterwards . ,0
38403,'s a reason the studio did n't offer an advance screening . ,0
47555,feel as if we 're seeing something purer than the real thing ,1
9025,the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies ,1
22488,you begin to long for the end credits as the desert does for rain . ,0
26381,"is as lax and limp a comedy as i 've seen in a while , a meander through worn-out material . ",0
63912,"'s most thoughtful films about art , ethics , and the cost of moral compromise ",1
49258,"k-19 : the widowmaker is derivative , overlong , and bombastic -- yet surprisingly entertaining . ",1
5072,"leave the same way you came -- a few tasty morsels under your belt , but no new friends . ",0
60648,its filmmakers run out of clever ideas and visual gags about halfway through ,0
777,would ever work in a mcculloch production again if they looked at how this movie turned out ,0
26382,the only entertainment you 'll derive from this choppy and sloppy affair ,0
67156,sewing together what could have been a confusing and horrifying vision into an intense and engrossing head-trip ,1
57709,offers nothing more than a bait-and-switch that is beyond playing fair with the audience . ,0
66548,"by supporting characters who are either too goodly , wise and knowing or downright comically evil ",0
32589,credit director ramsay for taking the sometimes improbable story and making it feel realistic . ,1
52424,"as if drop dead gorgeous was n't enough , this equally derisive clunker is fixated on the spectacle of small-town competition . ",0
28526,make underneath such a mountain of clichés and borrowed images ,0
66349,roger the sad cad that really gives the film its oomph ,1
24069,serving sara '' has n't much more to serve than silly fluff ,0
13786,wang at the forefront of china 's sixth generation of film makers ,1
2895,tykwer 's surface flash is n't just a poor fit with kieslowski 's lyrical pessimism ,0
58184,just offbeat enough to keep you interested without coming close to bowling you over . ,1
63917,the film rehashes several old themes and is capped with pointless extremes -- ,0
45347,worth catching for griffiths ' warm and winning central performance . ,1
13134,"for quality and a nostalgic , twisty yarn that will keep them guessing ",1
40789,"with a solid pedigree both in front of and , more specifically , behind the camera ",1
19552,"it would 've reeked of a been-there , done-that sameness . ",0
57882,"it has a way of seeping into your consciousness , with lingering questions about what the film is really getting at . ",1
35867,a captivating coming-of-age story that may also be the first narrative film to be truly informed by the wireless age . ,1
33002,a surprisingly charming and even witty match for the best of hollywood 's comic-book adaptations . ,1
10550,"the tuxedo was n't just bad ; it was , as my friend david cross would call it , ` hungry-man portions of bad ' ",0
20833,"a paunchy midsection , several plodding action sequences and a wickedly undramatic central theme ",0
11671,you will probably have a reasonably good time with the salton sea . ,1
7062,in which a guy dressed as a children 's party clown gets violently gang-raped ,0
38829,if you give a filmmaker an unlimited amount of phony blood ,0
54206,"this is unusual , food-for-thought cinema that 's as entertaining as it is instructive . ",1
38307,"while it is welcome to see a chinese film depict a homosexual relationship in a mature and frank fashion , lan yu never catches dramatic fire . ",0
59169,is beautiful filmmaking from one of french cinema 's master craftsmen ,1
27480,may as well be called `` jar-jar binks : the movie . '' ,0
11141,does give a pretty good overall picture of the situation in laramie following the murder of matthew shepard . ,1
40147,seeing a series of perfect black pearls clicking together to form a string ,1
66281,a journey that is as difficult for the audience to take as it is for the protagonist ,0
57771,a winning piece of work filled with love for the movies of the 1960s . ,1
49122,could as easily have been called ` under siege 3 : in alcatraz ' ... a cinematic corpse that never springs to life ,0
218,"all that 's missing is the spontaneity , originality and delight . ",0
57143,will be put to sleep or bewildered by the artsy and often pointless visuals . ,0
57707,funny in its observation of just how much more grueling and time-consuming the illusion of work is than actual work ,1
66390,that this mean machine was a decent tv outing that just does n't have big screen magic ,0
26083,"its script , which nurses plot holes gaping enough to pilot an entire olympic swim team through ",0
46399,that we feel as if we 're seeing something purer than the real thing ,1
60087,"so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be ",1
46656,"few films have been this odd , inexplicable and unpleasant . ",0
25550,"'s apparently nothing left to work with , sort of like michael jackson 's nose . ",0
17316,one that will have you at the edge of your seat for long stretches ,1
11488,read my lips is a genre-curling crime story that revives the free-wheeling noir spirit of old french cinema . ,1
53555,", it remains brightly optimistic , coming through in the end ",1
15967,"except a lingering creepiness one feels from being dragged through a sad , sordid universe of guns , drugs , avarice and damaged dreams ",0
37019,to watch with kids and use to introduce video as art ,1
43875,could possibly be more contemptuous of the single female population . ,1
54338,"generates little narrative momentum , and invites unflattering comparisons to other installments in the ryan series ",0
26694,than most of jaglom 's self-conscious and gratingly irritating films ,0
46799,"a smart , provocative drama that does the nearly impossible : ",1
49197,"it sounds like a cruel deception carried out by men of marginal intelligence , with reactionary ideas about women and a total lack of empathy . ",0
22817,"a lot of talent is wasted in this crass , low-wattage endeavor . ",0
43912,the early and middle passages are surprising in how much they engage and even touch us . ,1
33264,put in an impossible spot because his character 's deceptions ultimately undo him and the believability of the entire scenario ,0
41100,given too much time to consider the looseness of the piece ,0
49043,no reason to truly care for its decrepit freaks beyond the promise of a reprieve from their incessant whining ,0
42370,has enough gun battles and throwaway humor to cover up the yawning chasm where the plot should be . ,0
12820,"is busy contriving false , sitcom-worthy solutions to their problems ",0
13163,"the perkiness of witherspoon ( who is always a joy to watch , even when her material is not first-rate ) ",1
59606,"cassavetes thinks he 's making dog day afternoon with a cause , but all he 's done is to reduce everything he touches to a shrill , didactic cartoon . ",0
59888,there 's always these rehashes to feed to the younger generations ,0
50401,jackie chan movies are a guilty pleasure - he 's easy to like and always leaves us laughing . ,1
20802,the wild thornberrys movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough . ,1
13743,'s an adventure story and history lesson all in one ,1
40108,"lets her complicated characters be unruly , confusing and , through it all , human ",1
47711,"goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but ",1
40408,simply putters along looking for astute observations and coming up blank . ,0
52164,"this would-be ` james bond for the extreme generation ' pic is one big , dumb action movie . ",0
55870,"an achingly enthralling premise , the film is hindered by uneven dialogue and plot lapses . ",0
58994,you do n't have the slightest difficulty accepting him in the role . ,1
29038,", in the hands of a brutally honest individual like prophet jack , ",1
42639,", norton has to recite bland police procedural details , fiennes wanders around in an attempt to seem weird and distanced , ",0
42633,the story 's pathetic and the gags are puerile . . ,0
41504,"though frida is easier to swallow than julie taymor 's preposterous titus , the eye candy here lacks considerable brio . ",0
16673,"yakusho , as always , is wonderful as the long-faced sad sack ... and ",1
34430,is so intimate and sensual and funny and psychologically self-revealing that it makes most of what passes for sex in the movies look like cheap hysterics . ,1
25545,"sort of loved the people onscreen , even though i could not stand them . ",1
13849,"rifkin no doubt fancies himself something of a hubert selby jr. , but there is n't an ounce of honest poetry in his entire script ",0
43015,scratching your head in amazement over the fact that so many talented people could participate in such an ,0
40736,the most savory and hilarious guilty pleasure of many a recent movie season ,1
22878,"the metaphors are provocative , but too often , the viewer is left puzzled by the mechanics of the delivery . ",0
62975,that appeals to the storytelling instincts of a slightly more literate filmgoing audience ,1
18681,"full of detail about the man and his country , and is well worth seeing ",1
53275,almost all of its accumulated enjoyment with a crucial third act miscalculation ,0
43232,rarely does a film so graceless and devoid of merit as this one come along . ,0
60085,the film is a hilarious adventure and i shamelessly enjoyed it . ,1
304,"a densely constructed , highly referential film , and an audacious return to form that can comfortably sit among jean-luc godard 's finest work . ",1
38258,"that rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film ",1
25587,"it may not be a great piece of filmmaking , ",0
7633,the elements were all there but lack of a pyschological center knocks it flat . ,0
30462,"fessenden has nurtured his metaphors at the expense of his narrative , but he does display an original talent . ",1
8580,the feelings evoked in the film are lukewarm and quick to pass . ,0
15640,'re burnt out on it 's a wonderful life marathons and bored with a christmas carol ,0
6043,"no worse a film than breaking out , and breaking out was utterly charming . ",1
13369,"both heartbreaking and heartwarming ... just a simple fable done in an artless sytle , but it 's tremendously moving . ",1
8959,", pinocchio never quite achieves the feel of a fanciful motion picture . ",0
16623,"balance pointed , often incisive satire and unabashed sweetness , with results that are sometimes bracing , sometimes baffling and quite often , and in unexpected ways , touching ",1
49858,seeing an otherwise good movie marred beyond redemption by a disastrous ending ,0
42146,"beautifully shot , delicately scored and powered by a set of heartfelt performances , it 's a lyrical endeavor . ",1
35781,"of the damned is a pointless , meandering celebration of the goth-vampire , tortured woe-is-me lifestyle . ",0
14062,it 's the image that really tells the tale . ,1
20798,"a film that will be best appreciated by those willing to endure its extremely languorous rhythms , waiting for happiness ",0
31795,as an old pickup skidding completely out of control on a long patch of black ice ,0
59621,some of the most poorly staged and lit action in memory ,0
59556,"have been allowed to use the word `` new '' in its title , because there 's not an original character , siuation or joke in the entire movie ",0
20563,", this trifling romantic comedy in which opposites attract for no better reason than that the screenplay demands it squanders the charms of stars hugh grant and sandra bullock . ",0
17711,feels stitched together from stock situations and characters from other movies ,0
46991,"you can taste it , but there 's no fizz . ",0
24036,is like watching an alfred hitchcock movie after drinking twelve beers . ,0
20953,"a florid biopic about mad queens , obsessive relationships , and rampant adultery so dull ",0
27810,"there 's absolutely no reason why blue crush , a late-summer surfer girl entry , should be as entertaining as it is ",1
28271,should be required viewing for civics classes and would-be public servants alike . ,1
38120,"phillip noyce and all of his actors -- as well as his cinematographer , christopher doyle -- understand the delicate forcefulness of greene 's prose ",1
42718,"writer-director randall wallace has bitten off more than he or anyone else could chew , and ",0
36912,"the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual dvd release will offer subtitles and the original italian-language soundtrack ",1
15073,the horror fan who opts to overlook this goofily endearing and well-lensed gorefest ,1
57129,"flat-out amusing , sometimes endearing and often fabulous , with a solid cast , noteworthy characters , delicious dialogue and a wide supply of effective sight gags ",1
41610,"their culture 's manic mix of millennial brusqueness and undying , traditional politesse ",1
15419,"notwithstanding my problem with the movie 's final half hour , i 'm going to recommend secretary , based on the wonderful acting clinic put on by spader and gyllenhaal ",1
2633,an odd drama set in the world of lingerie models and bar dancers in the midwest that held my interest precisely because it did n't try to . ,1
36245,the screenplay flounders under the weight of too many story lines . ,0
63848,be able to appreciate the wonderful cinematography and naturalistic acting ,1
28746,"with a tighter editorial process and firmer direction this material could work , especially since the actresses in the lead roles are all more than competent ",1
63655,of the most depressing movie-going experiences i can think of ,0
20871,... too contrived to be as naturally charming as it needs to be . ,0
24122,a reworking of die hard and cliffhanger but it 's nowhere near as exciting as either . ,0
5169,the best advice is : ` scooby ' do n't . ,0
52410,"is a dazzling , remarkably unpretentious reminder of what ( evans ) had , lost , and got back . ",1
57068,how desperate the makers of this ` we 're - doing-it-for - the-cash ' sequel were ,0
18697,a wretched movie that reduces the second world war to one man ,0
270,two guys who desperately want to be quentin tarantino when they grow up ,0
46220,"a perfect example of rancid , well-intentioned , but shamelessly manipulative movie making ",0
11571,"the mood , look and tone of the film fit the incredible storyline to a t. ",1
8259,works beautifully as a movie without sacrificing the integrity of the opera ,1
50636,"blue crush '' is the phenomenal , water-born cinematography by david hennings ",1
11554,deeply moving effort to put a human face on the travail of thousands of vietnamese ,1
36716,"is smart to vary the pitch of his movie , balancing deafening battle scenes with quieter domestic scenes of women back home receiving war department telegrams ",1
567,ardently waste viewers ' time with a gobbler like this ,0
62336,"by a cast that seems to include every top-notch british actor who did not appear in gosford park ( as well as one , ms. mirren , who did ) ",1
50075,that i ca n't wait to see what the director does next ,1
38993,"is one of my least favorite emotions , especially when i have to put up with 146 minutes of it . ",0
50563,"a funny ( sometimes hilarious ) comedy with a deft sense of humor about itself , a playful spirit and a game cast ",1
9661,gaping enough to pilot an entire olympic swim team through ,0
26539,allowing us to remember that life 's ultimately a gamble and last orders are to be embraced ,1
48114,"is gripping , as are the scenes of jia with his family ",1
25446,has a true talent for drawing wrenching performances from his actors ( improvised over many months ) and for conveying the way tiny acts of kindness make ordinary life survivable ,1
21199,"at the same easy targets as other rowdy raunch-fests -- farts , boobs , unmentionables -- ",0
38194,"a movie , which normally is expected to have characters and a storyline ",0
30012,makes me say the obvious : abandon all hope of a good movie ye who enter here . ,0
22907,could n't really figure out how to flesh either out ,0
678,the film goes right over the edge and kills every sense of believability ,0
1895,"much of it comes from the brave , uninhibited performances by its lead actors . ",1
4733,a compelling story of musical passion against governmental odds . ,1
22867,"have written a more credible script , though with the same number of continuity errors ",0
14560,"steven shainberg 's adaptation of mary gaitskill 's harrowing short story ... is a brilliantly played , deeply unsettling experience . ",1
65985,represents an engaging and intimate first feature by a talented director to watch ,1
65596,"through its flaws , revolution # 9 proves to be a compelling ",1
53333,"is many things -- stoner midnight flick , sci-fi deconstruction , gay fantasia -- ",0
58685,which very simply sets out to entertain and ends up delivering in good measure ,1
34404,"as played by ryan gosling , danny is a frighteningly fascinating contradiction . ",1
60573,as a treatise on spirituality as well as a solid sci-fi thriller ,1
6409,thurman and lewis give what can easily be considered career-best performances ,1
3801,a movie that ca n't get sufficient distance from leroy 's delusions to escape their maudlin influence . ,0
31970,"shows that jackie chan is getting older , and that 's something i would rather live in denial about ",0
28968,"loses its sense of humor in a vat of failed jokes , twitchy acting , and general boorishness ",0
55644,columbia pictures ' perverse idea of an animated holiday movie ,0
7792,the film is well under way -- and yet it 's hard to stop watching ,1
52441,looking over the outdated clothes and plastic knickknacks at your neighbor 's garage sale ,0
37960,", yes , ` it 's like having an old friend for dinner ' . ",1
11560,the filmmakers keep pushing the jokes at the expense of character until things fall apart . ,0
13374,"revel in those visual in-jokes , as in the film 's verbal pokes at everything from the likes of miramax chief harvey weinstein 's bluff personal style ",1
12788,"though it lacks the utter authority of a genre gem , there 's a certain robustness to this engaging mix of love and bloodletting . ",1
54258,"can not help but love cinema paradiso , whether the original version or new director 's cut . ' ",1
31763,pretend it 's a werewolf itself by avoiding eye contact and walking slowly away ,0
67235,will be moved to the edge of their seats by the dynamic first act ,1
36932,director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning . ,0
18814,"ben kingsley is truly funny , playing a kind of ghandi gone bad . ",1
10134,"the film unfolds with all the mounting tension of an expert thriller , until the tragedy beneath it all gradually reveals itself . ",1
1343,"( or role , or edit , or score , or anything , really ",0
51779,"a clash between the artificial structure of the story and the more contemporary , naturalistic tone of the film ... ",0
59224,"( reno ) lets her radical flag fly , taking angry potshots at george w. bush , henry kissinger , larry king , et al . ",0
90,"it 's a scattershot affair , but when it hits its mark it 's brilliant . ",1
30842,the earnestness of its execution and skill of its cast ,1
66981,"it all starts to smack of a hallmark hall of fame , with a few four letter words thrown in that are generally not heard on television . ",0
21670,"very amusing , not the usual route in a thriller , and the performances are odd and pixilated and sometimes both . ",1
19633,has some special qualities and the soulful gravity of crudup 's anchoring performance ,1
19012,does little here but point at things that explode into flame ,0
48219,adrien brody -- in the title role -- helps make the film 's conclusion powerful and satisfying ,1
461,it 's too bad that the helping hand he uses to stir his ingredients is also a heavy one . ,0
33620,"still comes off as a touching , transcendent love story . ",1
5048,sip your vintage wines and watch your merchant ivory productions ,1
34765,documentary to make the stones weep -- as shameful as it ,0
26631,is the kind of film that could only be made by african-americans because of its broad racial insensitivity towards african-americans . ,0
30421,make it the darling of many a kids-and-family-oriented cable channel ,1
469,so unremittingly awful that labeling it a dog probably constitutes cruelty to canines . ,0
58843,is to be viewed and treasured for its extraordinary intelligence and originality as well as its lyrical variations on the game of love ,1
52643,that it jams too many prefabricated story elements into the running time ,0
47023,find a movie character more unattractive or odorous ( than leon ) ,0
59290,stylized swedish fillm about a modern city where all the religious and civic virtues that hold society in place are in tatters . ,1
53325,", it 's also cold , gray , antiseptic and emotionally desiccated . ",0
29142,after one gets the feeling that the typical hollywood disregard for historical truth and realism is at work here ,0
58056,'s no other reason why anyone should bother remembering it ,0
31468,the movie does n't add anything fresh to the myth . ,0
66827,"if the enticing prospect of a lot of nubile young actors in a film about campus depravity did n't fade amid the deliberate , tiresome ugliness ",0
14654,"a piece of handiwork that shows its indie tatters and self-conscious seams in places , but has some quietly moving moments and an intelligent subtlety ",1
11561,was ever a movie where the upbeat ending feels like a copout ,0
37763,"watching queen of the damned is like reading a research paper , with special effects tossed in . ",0
17012,"is little more than home alone raised to a new , self-deprecating level ",0
1694,"a thoughtful movie , a movie that is concerned with souls and risk and schemes and the consequences of one 's actions . ",1
54876,or maybe `` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? '' ,0
61985,"all the pieces fall together without much surprise , but little moments give it a boost . ",1
28173,it is a copy of a copy of a copy ,0
6978,"work , especially since the actresses in the lead roles are all more than competent ",1
12563,"filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a scrooge or two ",1
35475,makes less sense than the bruckheimeresque american action flicks it emulates . ,0
53136,"with an unusual protagonist ( a kilt-wearing jackson ) and subject matter , the improbable `` formula 51 '' is somewhat entertaining , but ",1
8056,so much that one viewing ca n't possibly be enough ,1
10173,has dreamed up such blatant and sickening product placement in a movie ,0
5599,is neither light nor magical enough to bring off this kind of whimsy . ,0
27876,quickly enters the pantheon of wreckage that includes battlefield earth and showgirls ,0
11146,it 's rare for any movie to be as subtle and touching as the son 's room . ,1
8833,"for the future , one hopes mr. plympton will find room for one more member of his little band , a professional screenwriter . ",0
